1552 por	1556 SPA	0.3	sentences_1552
& soos e todas aquellas circunstancias são desta qualidade (segũdo S. Tho (y. in d. d. 10 q. 6 ar. z. q. 3)) que alen da malicia da mesma obra, repugnã especialmente aa rezão segundo Scoto: as quaes se defendem por diversos, & especiaes mandamentos.	Y solas, y todas aquellas circunstancias son desta qualidad, segun S. Thomas (l : In dict. dist. 16 quaestione sexta articu. 2. quaestione 3), que allende la malicia de la misma obra, repugnan especialmente ala razon, y segun Scoto, las que se vedan por diversos, y especiales mandamientos.	1.18	sentences_1552
Dissemos (especiaes) porque não abasta, que sejã taes: que hũ delle; se incluya no outro:	Diximos (especiales) porque no basta, que sean tales, que el uno dellos se incluya enel otro, quales son la ley, que veda todo mal, y la que veda el homicidio, como los provamos alibi (a : in d. princi. nume. 74).	0.206082	sentences_1552
quaes são, a ley que defende todo mal, & a que defende homicidio, como ho provamos en outra parte (z : in d. c. consideret n. 74). O qual todo, polas seguintes illaçones se decrara.	Lo qual todo por los siguientes corolarios se desmenuzara.	-0.3	sentences_1552
<p>	* Antes de los quales avisamos, que despues que esto se imprimio, declaro por herege el concilio Tridentino (b : Sessio quarta sub Iul. 3. c. 5. & cano 7), al que dixere, que no somos obligados a confessar la circunstancia, que muda la especie de pecado.	0.00504202	sentences_1552
¶	Lo qual se ha de entender, de la circunstancia, que muda la especie de pecado venial en mortal, o la del mortal en otro mortal, y no de la que muda en otro venial, que no es necessario (c : glo. c. c omnis de poeni. & re. recepta ibi, & in 4 dist. 17) confessarlo.	0.6	sentences_1552
A primeyra he, que não se hão de confessar as circunstancias, de quãdo ho peccado se fe x. f. se aa segunda feira, se aa terça: se no campo, se na vinha, se co a mão direyta, se co a esquerda:	Y aunque el concilio no expressa, sino de la que muda la especie del pecado, per tambien (y por mas fuerte razon) se ha de entender de la que haze a la obre, que de suyo es buena, o no mala, mortal.	0.406299	sentences_1552
porque per estas não se faz algũa das tres cousas acima ditas: Pois não se faz mortal, o que sem elas ho não fora, nem de outra especie mortal, nem por outro respeito.	Y aun, de la que haze que una obra, quae por un respecto es mortal, lo sea tambien por otro tal, aunque la especie della (quanto a su ser) no se mudasse, como se ha dicho en esta quarta ilacion.	0.528098	sentences_1552
<p>	Ca la razon que a ello movio al convilio, es que el confessor es juez y no podria bien sencenciar el caso del penitente, sin se le manifestar la circunstancia, que muda la especie del pecado, la qual razon milita en las tres dichas circunstancias (d : Quare idem iuris debet esse de omnibus. l. illud. ff. ad leg Aquil.). *	0.288462	sentences_1552
4. ¶	<p>	0.194444	sentences_1552
[4] A II que o que furtou algũa cousa sagrada, ou de lugar sagrado: não cumpre dizendo, que furtou:	5 ¶	-0.0452538	sentences_1552
	El primero de los quales sea, que no se han de confessar las circunstancias, de aver se cometido el pecado lunes, o martes, enel prado, o en la viña, con la mano derecha, o con la yzquierda.		sentences_1552
Porque ha de confessar, que furtou em lugar sagrado, ou cousa sagrada de lugar não sagrado:	Porque po restas, no se haze alguna de las tres cosas suso dichas, pues no se haze mortal, lo que sin ellas no fuera tal, ni de otra especie mortal, ni por otro respecto mortal.	1.7	sentences_1552
porque esta circunstancia faz, que o que era peccado mortal de hũa especie, ou por hũ respeyto, ho sela dovira, ou por outro: por ser especialmente defendido por outra ley diversa, da que defende ho furto. f. que nenhũa cousa sagrada, nem de lugar sagrado se furte.	<p>	0.440598	sentences_1552
<p>	¶	0.788088	sentences_1552
<p>	6 [4] El segundo † que pecar con confiança, de que despues se confessara, y alcançara pardon perdon, no se ha de confessar necessariamente, perque no es circunstancia, que tanto agrava, antes aliuvia, como lo apunto un Cardenal (e : Caietan. 2. Sec. q. 21. ar. 2 quicquid dicat Bonaventura in apologia)		sentences_1552
5. Do mesmo he do homicidio, & fornicaçao cometida em lugar sagrado:	<p>	1.6	sentences_1552
porque po resta circũstãcia se fazen mortaes outra specie: ou por outro respeito, por serem specialmente defendidos por ley humana (a : e proposuisti d. confe. cecie c. Eccesiis de consecr. d. 1)	7 ¶ El tercero, que al que hurto alguna cosa sagrada, o de lugar sagrado, no basta dezir que la hurto, porque le es necessario confessar, que la hurto de lugar sagrado, o era cosa sagrada.	0.103488	sentences_1552
<p>	Ca esta circunstancia haze, que lo que era pecado mortal de una especie, o por nu respecto, lo sea de otra, o por otro respecto, por ser especialmente vedada por otra ley diversa, de la que veda el hurto conviene saber, que ninguna cosa sagrada, ni de lugar sagrado se hurte (f : c. Quisquis n. 7 quaest 4).		sentences_1552
. ¶		0.65181	sentences_1552
[5] A III que quem conhece carnalmente molher casada, ou parenta, ou religiosa: não satisfaz confessando somente, que tuve parte con molher: porque ha de decrarar, que era con casada, religiosa, ou parenta:	<p>	0.357143	sentences_1552
porque non primeiro caso, he adulterio corporal, no ii sacrilegio, ou adulterio spiritual, no iii incesto: & por conseguinte ao mortal de hũa specie ou por hũ respecto, ho faz mortal de outra specie, ou por outro respecto.	8[5] Lo mesmo † es del homicidio, y de la fornication hecha en lugar sagrado.		sentences_1552
E se propos de furtar, para ter parte com hũa que he religiosa, & con outra que he casada: ha de confessar furto & adulterio, & sacrilegio:	Porque po resta circunstancia se hazen de otra especie, o por otro respecto mortales, por ser vedados por ley, especial humana (a : Cap. Proposuisti, de consec. eccl. cap. Ecclesiis de consec. distin. I).		sentences_1552
porque ainda que estas tres cousas sejão hũ auto soo interior da vontade: san poren peccado mortal, por tres respectos diversos: pois por tres repugna aa rezão, & por tres leys diversas speciaes estaa veadado.	<p>	0.956714	sentences_1552
<p>	9 ¶	0.463684	sentences_1552
¶	El IIII que quien se echo con muger casada, religiosa, o parienta, no satisfaze confessando, que uvo parte con muger, porque ha de declarar, que la ovo con casada, religiosa, o parienta.		sentences_1552
A IIII que toda circunstancia de fim defendido por outra ley special diversa, da que veda o auto principal, se deve confessar contro a circunstancia do que furta para fornicar, matar, ou ferir a outro.	Ca enel primero caso es adulterio corporal, enel segundo, sacrilegio, o adulterio espiritual, enel tercero, incesto, y por conseguiente lo mortal de una especie, lo haze de otra.	1.3	sentences_1552
<p>	U si uno propuso de hurtar para tener parte con una, que es religiosa, y con otra casada, ha de confessar, hurto, sacrilegio, y adulterio:	-0.3	sentences_1552
¶	Porque puesto que estas tres cosas sean un acto interior de la voluntad, empero por tres respectos diversos es pecado mortal, pues por tres repugna a la razon, y por tres leyes diversas especiales esta vedado.	0.732143	sentences_1552
[6] A V. que mente pera dar prazer, sem dãno doutro: que he mintira jocosa, & peccado venial: com tal tençao, que nao a deixaria de dizer, posto que soubesse que era mortal, he obrigado a confessar aquella circunstancia: porque con ella he mortal & sem ella não.	<p>	0.431586	sentences_1552
<p>	10 ¶	0.366892	sentences_1552
6. A VI. que nenhũ he obrigado a confessar as circunstancias, que alivião o peccado:	El. V. que toda circunstancia de fin vedada por otra ley especial diversa dela que veda el acto principal, se deve confessar, como la circunstancia del que hurta para fornicar, matar, o herir a otro	0.251695	sentences_1552
& assi o que peccou com hũa molher, porque ella ho provocou: nam he obrigado a confessar, que ella ho provocou, pois diminue ho peccado (b : c. significavit de penit & re quo in hoc dixit sing. Felinus in ea. Dilecti de except. col. ante penui. & l. si adulterium. c3. incestu § imperatores ff. ad Il iul. de adult. quam in hoc aiebat ing. Ia fon. in l. vt vim. ff. de iust & iur col. z. aptissimus tamen ad perpesitum tex in d. c. Consideret verb. tentatione):	<p>		sentences_1552
antes a deve calar (segundo a Comũ, que nos em outra parte seguimos : ) c? (c. f. in princ. d. c. Consideret n. 5) porque não deve ho peccador escusas na confissam mas accusarse Posto que agora, milhor nos parece ho contrario:	11 ¶	1.6	sentences_1552
porque dado caso, que a não case, sufficientemente se accusa lançando a si mesmo a culpa que ten, sem tirar nem poer mais.	El. VI † que quien miente para dar plazer, sin daño de nadie (que es mentira iocosa, y pecado venial) con tal intencion, que no la dexaria de dezir puesto que supiera, que era mortal, es obligado a confessar a quella circunstancia, porque con ella es mortal, y sin ella no.	1.96121	sentences_1552
Deve porem confessalas, segundo S. Bonaventura (d. in 4. d. 16. c), & a Comũ, que ally seguimos, quando tanto aliutão, que de mortal, ho faz que não seja peccado, ou soomente venial como a circunstancia da grave e fermida de aliuia o comer carne na coresma	<p>		sentences_1552
& quando ho confessor lho pregunta: & quando temesse, que polas callar, tomaria ho confessor occasion de algũ mal (e : Arg. c. Nialn de praescriptio).	12 ¶	1.6	sentences_1552
<p>	El VII [6] que nadie es obligado a confessar las circunstancias que alivian el pecado, y assi el que peco con una muger, porque ella lo provoco, no es obligado a confessar, que lo provoco, pues diminuye el pecado (b : Pet. c. Significavit-de poe. & remis. quod i hoc dixit fing. Feli in c. Dilecti. de except. col. antepe. & per . l. Si adulterium cum incestu § imperatores . ff. ad. l. Iuliam de adulte. quem in hoc aiebat. fin. Iason. i. l. Ut vim. ff. de iusti & iur. co. 2 aptissimus tum ad propositum tex. in. d. c. Consideret, verb. tentatione).	-0.3	sentences_1552
7. ¶	Antes (segun la Commun, que nos seguimos alibi (c : f. in princ. d. c. Consideret. numero. 5. ) la deve callar, por no se dever escusar el penitente enla confession.	0.205997	sentences_1552
[7] A VII que posto que cousa de louuar, confessar as circumstancia, que agravão ho peccado, fazendoo de pequeno grande ou de grande mayor, poren a openião mais commũa, & provavel he, que não he necessario, quando aquelle acreentamento não he causa, que ho venial se faça mortal, ou de outra specie, ou por outro respecto:	Agora empero mejor nos parece lo contrario, porque no ay ley ni razon, que efficazemente prueve aquello (d : Ergo nec asserendum. c. 2. de trans. praela . .c. Legat. 24. q. 2), y porque, aunque no la calle, bastantemente se acusa, echando se la culpa que tiene, fin quitar, ni poner mas.		sentences_1552
como copiosamente allegamos, & provamos em outra parte (f : in d. c. Consideret), apartandonos de todo em todo do parecer de Marsilio (g. in lib. 4. q. 12. ar. 1 col4) que limitava, que esta Commũ não ovvesse lugar quando a circunstancia muy crara, & notavelmente acrecenta ho peccado, polas muytas & efficaces consideraçones, que alli (f : in d. prin. pag 36 naz. ) escrevemos.	Y aun es obligado a confessar las, según. S. Bona. (e: in. 4. d. 16. ) y la Comun, que ali (f: in d. princ. ) seguimos, quando tanto alivia, que de mortal lo haze que no sea pecado, o no mas de venial, como la circunstancia de la grave enfermedad alivia al comer de la carne en quaresma.	-0.6	sentences_1552
<p>	Y quando se las pregunta el confessor, o temiesse, que por se las callar tomaría occasion de algún mal (g: Arc. c. Nihil de praescript.).	0.571353	sentences_1552
8. † [8] Parece nos poren, que a Comũ nã ha lugar, quãdo ao menos por constituçones synodaes, aquelle argumento do peccado ha causa, que seja reservado:	<p>	1.3125	sentences_1552
ou que a restituoção se faça doutra maneira: ou que tenha annexa excomunhão: ou que a excomunhã ãnexa seja Papal: como a excomunhão da ferida pequena do clerico he do bispo (g : c. Pervenit defent. exco. ubi rex tus singularis): & se he grãde, he do Papa (h : c. Si qs suas dente 17 q. 4)	13 ¶	0.872621	sentences_1552
<p>	El VIII † [7] que aun que es loable cosa confessar las circunstancias, que agravan el pecado, haziendolo de pequeño grande, o de grande mayor, pero la opinion mas commun, y provable es, que no es necessario, quando aquel argumento no es cause, que lo venial se haga mortal, o de otra especie, o por otro respecto, como copiosamente provamos alibi (h : f. in. d. prin. nu. 12. part. 4 pag. 36 * & satis declaratur ex nunc pro conci. Trident. sess. 4 sub Iuli. 3. cap. 5 & can. 7 à contrario sensu), apartandonos de Marsilio (i : in. li. 4. q. 12. art. I. corol. 4) (en quanto limitava esta commun, que no oviesse lugar en la circunstancia, que muy clara y norablemente augmenta el pecado) por las muchas, y solidas consideraciones, que alli escrivimos.	0.642474	sentences_1552
ou quando preguntado polo confessor se cala sen outra algũa causa, ponendose (ao menos) en perigo dalgũ inconveniente como ho disse bem Sylvestre (i : verb. Confessio i. q. 9 k): ainda que Joam de Friburgo, autor da Summa confessorum, não ho diz onde elle ho allega (k f. lib. 3. t. 33. q. 11): nem ainda onde disto tracta (l : f. lib. 3. tit. 34. q. 81).	Parecenos empero, que se davan limitar enla que augmenta el pecado, y haze que por ello sea reservado almenos por constitucion synodal, que a las vezes reserva algunos hurtos, o daños de ciertta quantidad para cima, o añade, que la absolucion, o restitucion se haga en cierta manera.	0.470619	sentences_1552
<p>	<p>		sentences_1552
9. ¶		1.3	sentences_1552
A VIII que a circunstancia do dia [9] da festa não se ha de confessar necessariamente, porque não faz mortal, o que sem ella não fora tal ne de outra specie, ne por outro respeyto:	14 Y † enla que [8] haze, que tenga annexa descomunion, o que la descomunion annexa sea papal, como la descomunion dela herida ligera del clerigo, es obispal (a : ca. Pervenit de setentia exco. ubi text. singu. ), y de la grande, papal (b : c. Si quis suadente. 17 q. 4).	1.39595	sentences_1552
se não for obra servil defendida em festas: o qual não he ho peccado, segundo S. Tho. (m : in 3. d. 37 ar 5 q. z).	<p>	0.570694	sentences_1552
Esta illaçã por muytos fundamentos confirmamos em outra parten (f. in d. c. consideret a. 17 usque ad 40) respondendo aos contraytos, seguindo nisso ao Cardenal Caietano (o : i. sede q. 7 z Se q iz art. 4 & in quod ii 10 & in suma verb dies festos) em muytas partes, & ao resoluto Sylvestre em outras (p : f. verb circunstantia & verb Dies dnica q. 6 & in Rosa aurea cas 63 ubi testat doctissimos quos que ordinis dominicani convenisse & haec opinione suscepisse) & a Jacopo Almayno (q : in 4 d 17 col z4):	15 Y en la que pregunta el confessor, y no se puede callar, sin peligro de algun inconveniente espiritual, como lo dixo bien Silves (c : f. verb. Contessio. I. § 9) aunque Ioan de Friburgo (el autor dela Summa confessorum) no lo dize donde el lo allegad (f. li. 3. ti. 33 q. 11), niaun donde desto tracta (e : f. lib. 3 ti 34 quaest 81).		sentences_1552
posto que a openião commũ em dous casos se pode guardar, como ally dissemos (r : ubi supra a. 40) f. quando ho peccado se faz a fim, de fazer obra manual vedada naquelle dia, ou com tençao de quebrãtar a festa.	<p>	-0.3	sentences_1552
<p>	16 ¶	0.379344	sentences_1552
¶	El IX † que la circunstancia del dia dela fiesta, no se ha de confessar [9] necessariamente:		sentences_1552
A IX que a circunstancia do dia de jejuũ, ou de oração, não se ha de confessar necessariamente, se não quando se pecca com proposito de ho quebrãtar: porque nã faz algũa das ditas tres cousas, segũdo em outra parte ho provamos (s : f. in d. c. Consideret n. 32 vers. sic. Ad primum)	Porque no haze mal, lo que sin ella no lo fuera tal ni de otra especie, ni por otro respecto, sino fuere obra servil, vedada en fiestas, qual no es pecado, Segun S. Tho. (f : in-3 sent. d. 37 art. 5. q. 2).	0.20979	sentences_1552
<p>	Esta ilagion alibi (g : f. in. d. c. Consideret. a. n. 17 usque ad 40) por otros fundamentos confirmamos, respondiendo a otros tantos contrarios, seguiendo en ello al cardenal Caieta (h : 2. Sec. q. 7. & . 2. Sec. q. 122 art. 4. i. Quodl 10 & in summa verb dies festos) en muchas partes, y al resoluto Sylvestro en otras (i : f. verb. Cincunstantia. q. 3. & ver. Dies dominica. q. si. & . in aurea rosa. casu. 63 ubi testatur doctissimos quosque ordinis dominicani convenisse & hanc opinione suscepisse), y a Iacobo Almayno (k : in 4 dist 17 col. 24).		sentences_1552
10. ¶	Aunque la Comun opinion en dos casos se puede guardar como alli lo diximos (l: ubi supra n. 40), conviene a saber quando el pecado se haze a fin de hazer obras manual verdada en aquel dia, o quando se peca mortalmente, con intencion, y proposito de quebrantar la fiesta.	1.3	sentences_1552
A X que a circunstãcia do lugar sagra [10] do, posto que accidentalmente agrave todo peccado: porem não se ha de confessar necessariamente, salvo quando a obra do peccado he dereytamente contra sua sanctidade, ou sua immunidade: modo he ho derramamendo de sangue, ou semente humana: ou quãdo forçosamente se tirão delle os que ally se acolhem: Porque nestes, ho peccado de si mortal, por hũ respeyto:	<p>	1.36371	sentences_1552
se faz mortal por outros (s : Arg. c. Ecclesiis de consecr. d. 1. c. Proposuisti de conseer eccle. c. eod. tit. lib. 6): ou que não era peccado, po nã mais de venial de si po resta circunstancia se faz mortal: como a copula ãtre ho marido & molher sem causa justa avida nelle, seria mortal, que nos outros lugares o não feria.	17 ¶	1.23791	sentences_1552
<p>	El X que la circunstancia del dia de ayuno, o de oracion, no se ha de confessar necessariamente, fino quando se peca con proposito delo quebrantar, por ello por que no haze alguna delas dichas tres cosas, segun lo provamos alibi (m : in d. c. Consideret nu. 32 ver. Ad primum)	0.702374	sentences_1552
11. ¶	<p>	1.26375	sentences_1552
A XI [11] que deste precedente se seque que aquelles que na igreja cometem peccado de soberba, perjuro, ou gula &c. não hão de confessar de necessidade a circunstancia do lugar sagrado: nem os que estãdo nelle, desejã matar, ou ferir, ou fornicar: com tãto, que o não desejem cmeter, nem ppoer por obra nelle: porque se isto desejassem (ainda que este evessem fora de sagrado) ferião obrigados a confessar a circumstancia do sacrilegio, que nisso cometem, como aly (t : ubi supra n. zi. ) ho dissemos.	18 ¶		sentences_1552
<p>	El XI que la circunstancia del lugar sagrado, puesto que accidentalmente agrave todo pecado, per no se ha de confessar necessariamente, sino quando la obra del pecado es directamente contraria a su sanctidad, o immunidad, qual es el derramiento de humana sangre, o simiente, o faca forçosa de los, que a ella se acogen.	1.6	sentences_1552
12. ¶	Porque en estos pecado de suyo mortal por un respecto, se haze mortal por otro (n : arg. c. Ecclesiis de concec. d. I cap. proposuit de consecra. ecclesi. c. i eo tit lib. 6), o lo que no era peccado, o no mas de venial de suyo, por ella se haze mortal, como la copula entre marido y muger sin causa justa en el avida, que en los otros lugares no lo feria.	0.913247	sentences_1552
A XII que posto que a circunstancia da propria [12] pessoa, algũas vezes acrecenta ho peccado, sendo as outras cousas yguaes: assi como o que ten dignidade, mais pecca, que aquelle que a não temu (u : c. Ho. 40. d): & ho prelado mais que o subdito (x. c. Preciput ii. q. 3): & ho sabedor mais que ho ignorante (y : Sicud d. isgnu, de homicid) & mas o que ama a ignorantia (y : c. penult. 37 d. ), porque peque mais livremente, que o que pecca sabendo: & mais ho boo, que ho mao: & mais ho melhor, que ho menos boo:	<p>		sentences_1552
porem ainda que seja provetioso confessa resta circunstancia, não he poren necessario comũmente, nem faz de venial mortal:	19 ¶	1.24	sentences_1552
ne de mortal de hũa specie, mortal de outra: ne de mortal por hũ respeito, mortal por outro. Mas sy, quãdo isto se fizesse:	El xii† que deste precedente se sigue, que los que en la yglesia co[10]meten pecado de sobervia, perjjuro, o gula & c. no han de confessar de necessidad la circunstancia del lugar sagrado, ni los que estando en sagrado dessan matar, herir o fornicar, con tanto, que no lo sesseen cometer, ni poner por obra enel Ca. si esto dessean, aun que estuviiessen fuera de sagrado, serian obligados confessar la circunstancia del sacrilegio, que enello cometen como lo diximos alibia.	0.0101403	sentences_1552
como seria, se peccasse contra seu voto, ou estado votado. f. se ho religioso fornicasse: necessario seria confessar a circũstancia de pessoa, porque entã passaria em sacrilegio ou adulterio spiritual, & faz huã das ditas tres cousas: e que nã se faz, quãdo ho religioso blasfema, ou faz outro peccado, que uã seja contra seus votos, ou regra prometida; como despois de Caietano (z : 1. Sec. q. 7. ar. 1) ho dissemos em outra parte (a : ubi supra n. 50).	<p>	-0.3	sentences_1552
Porque a circunstancia de religião comũmente não faz mortal o que de seu não he mortal, nem de outra specie, o que de si he doutra.	20 ¶	0.563132	sentences_1552
<p>	El XIII †[11] que aunque la circunstancia de la propria persona, alguna vezes acrescienta el pecado (caeteris paribus) assi como el que tiene dignidad mas peca, que aquello que no la tiene (b : cap. Homo 40. d. ), y el perlado mas que le subdito (c : Praecipue. II. quaest. 3) y el sabio mas que el ignorante (d : sicut dignum de homic), y mas el que ama la ignorancia (e : c. pen. 37. d) para pecar mas libremente, que pecaria sabiendo, y mas el bueno, que el malo, y el mejor que el menos bueno.		sentences_1552
13. ¶	Y aunque por est sea provechoso confessa resta circunstancia, per no es necesasrio comunmente:	1.24	sentences_1552
A XIII Que a circunstãcia do peccar contra sua [13] consciencia: entam somente he necessaria, quando a obra que fez, por nenhũa ley era peccado, se não porque foy feyta contra sua consciencia erronea:	Porque comunmente ni haze de venial mortal, ni de mortal de una especie, mortal de outra, ni de mortal por un respecto, mortal por otro.	0.121236	sentences_1552
Porque entam somente faz hũa das ditas tres cousas, & não outras vezes; como novamente ho decraramos em outra parte (b : f. ubi supra n. 52 ed seq. )	Mas quando esto se hiziesse, lo qual feria, quando se pecasse contra voto, o estado votado, como peca el religioso en fornicar entonces avia se de confessar porque haze una de las dichas tres cosas, lo que no haze empero quando el religioso blasphemasse, o hizesse otro pecado, que no fuesse contra sus votos, o regla professada, como despues de Caietano (f : I. Sec. q. 17. art. I) lo diximos alibi (g : f. in d. princ. num. 50).		sentences_1552
<p>	Porque la circunstancia de religion, comunmente no haze mortal, lo que de suyo no es tal, ni de otra especie, lo quesuyo es de otra.	1.24	sentences_1552
14. ¶	<p>	-0.3	sentences_1552
A XIIII que ho numero dos peccados, não he corcunstancia, mas addição ou acrecentamento de peccado a peccado. Porque a frequencia constuve novo peccado acerca do qual dissemos em outra partec (ubi supra, n. 41), que nã abasta dizer:	21 ¶	-0.3	sentences_1552
Pequey muytas vezes neste peccado: Pois esta dição muytas vezes tãto se verifica em dez, & ainda em eous, como en cento (d : in c. Monasteria do vita & hon & Geor. in prunei Clement. saepe de verbo signifi): porque ho Arcediago (e : in c. imitare 6 q. 1 & in princip. d. c. Consideret) teve que si ao qual nã quis reprovar o Ango (f : verb Confessio 1. § z3 ) poren reprovouho ho Cardenal Alexandrino (g : in eod. e. imitare).	El XIIII † [12] que la confession dela circunstancia de precar contra la consciencia, entonces soamente es necessaria, quando la obra que hizo, por ninguna ley era pecado, sino por ser hecha contra su consciencia erronea.	-0.012514	sentences_1552
<p>	Porque entonces solamente haze una delas dichas tres cosas, y no otras vezes, como nuevemente lo declaramos alli (h : f. ubi supra num 58 & 65).	1.00488	sentences_1552
15. † Dissemos [14] tamben que ho peccador deve decrarar ho numero certo se ho sabe dizendo : Isto fiz tantas vezes. E se não sabe o conto certo, ha de lançar contra, quantas vezes no dia, ou na somana, ou no mes, pouco mais, ou menos peccou: & dizer o conto certo, que lhe parece mais verissimel:	<p>	0.35875	sentences_1552
porque peccaria mortalmente, o que por vergnoha ou hypocresia calasse algũa cousa do numero das vezes, que Ihe lembra: & ainda nenhũa causa valeria a confissão, se por sua lata culpa se não lembra, por não aver cuydado nenhũa cousa de seus peccados podendo ho fazer.	22 ¶	-0.3	sentences_1552
<p>	El XV† [13] que el numero delos pecados no es circunstancia, mas addicion de pecado a pecado, porque la frequentacion es circunstancia, que constituye nuevo pecado.	0.0603936	sentences_1552
