1552 por	1556 SPA	0.3	sentences_1552_autosegmented
A X que a circunstãcia do lugar sagra [10] do, posto que accidentalmente agrave todo peccado : porem não se ha de confessar necessariamente, salvo quando a obra do peccado he dereytamente contra sua sanctidade, ou sua immunidade : modo he ho derramamendo de sangue, ou semente humana : ou quãdo forçosamente se tirão delle os que ally se acolhem : Porque nestes, ho peccado de si mortal, por hũ respeyto : se faz mortal por outros (s : Arg. c. Ecclesiis de consecr. d. 1. c. Proposuisti de conseer eccle.	El XI que la circunstancia del lugar sagrado, puesto que accidentalmente agrave todo pecado, per no se ha de confessar necessariamente, sino quando la obra del pecado es directamente contraria a su sanctidad, o immunidad, qual es el derramiento de humana sangre, o simiente, o faca forçosa de los, que a ella se acogen.	1.32873	sentences_1552_autosegmented
c. eod. tit. lib. ~~~ 6): ou que não era peccado, po nã mais de venial de si po resta circunstancia se faz mortal : como a copula ãtre ho marido & molher sem causa justa [p. 37, 45 pdf] avida nelle, seria mortal, que nos outros lugares o não feria.	Porque en estos pecado de suyo mortal por un respecto, se haze mortal por otro (n : arg. c. Ecclesiis de concec. d. I cap. proposuit de consecra. ecclesi. c. i eo tit lib. 6), o lo que no era peccado, o no mas de venial de suyo, por ella se haze mortal, como la copula entre marido y muger sin causa justa en el avida, que en los otros lugares no lo feria.	0.639718	sentences_1552_autosegmented
11. ¶	19 ¶	1.24	sentences_1552_autosegmented
A XI [11] que deste precedente se seque que aquelles que na igreja cometem peccado de soberba, perjuro, ou gula &c. não hão de confessar de necessidade a circunstancia do lugar sagrado : nem os que estãdo nelle, desejã matar, ou ferir, ou fornicar : com tãto, que o não desejem cmeter, nem ppoer por obra nelle : porque se isto desejassem (ainda que este evessem fora de sagrado) ferião obrigados a confessar a circumstancia do sacrilegio, que nisso cometem, como aly (t : ubi supra n. zi. ) ~~~ ho dissemos.	El xii† que deste precedente se sigue, que los que en la yglesia co [10] meten pecado de sobervia, perjjuro, o gula & c. no han de confessar de necessidad la circunstancia del lugar sagrado, ni los que estando en sagrado dessan matar, herir o fornicar, con tanto, que no lo sesseen cometer, ni poner por obra enel Ca. si esto dessean, aun [p. 35, 26 pdf] que estuviiessen fuera de sagrado, serian obligados confessar la circunstancia del sacrilegio, que enello cometen como lo diximos alibia.	0.603082	sentences_1552_autosegmented
12. ¶	20 ¶	1.24	sentences_1552_autosegmented
A XII que posto que a circunstancia da propria [12] pessoa, algũas vezes acrecenta ho peccado, sendo as outras cousas yguaes : assi como o que ten dignidade, mais pecca, que aquelle que a não temu (u : c. Ho.	El XIII †[11] que aunque la circunstancia de la propria persona, alguna vezes acrescienta el pecado (caeteris paribus) assi como el que tiene dignidad mas peca, que aquello que no la tiene (b : cap. Homo 40. d. ), y el perlado mas que le subdito (c : Praecipue.	1.24765	sentences_1552_autosegmented
40. d) : & ho prelado mais que o subdito (x. c. Preciput ii. q. 3) : & ho sabedor mais que ho ignorante (y : Sicud d. isgnu, de homicid) & mas o que ama a ignorantia (y : c. penult.	II. quaest. 3) y el sabio mas que el ignorante (d : sicut dignum de homic), y mas el que ama la ignorancia (e : c. pen.	1.32857	sentences_1552_autosegmented
37 d. ), porque peque mais livremente, que o que pecca sabendo : & mais ho boo, que ho mao : & mais ho melhor, que ho menos boo : porem ainda que seja provetioso confessa resta circunstancia, não he poren necessario comũmente, nem faz de venial mortal : ne de mortal de hũa specie, mortal de outra : ne de mortal por hũ respeito, mortal por outro.	37. d) para pecar mas libremente, que pecaria sabiendo, y mas el bueno, que el malo, y el mejor que el menos bueno. ~~~ Y aunque por est sea provechoso confessa resta circunstancia, per no es necesasrio comunmente : Porque comunmente ni haze de venial mortal, ni de mortal de una especie, mortal de outra, ni de mortal por un respecto, mortal por otro.	0.588176	sentences_1552_autosegmented
Mas sy, quãdo isto se fizesse : como seria, se peccasse contra seu voto, ou estado votado . ~~~ f. se ho religioso fornicasse : necessario seria confessar a circũstancia de pessoa, porque entã passaria em sacrilegio ou adulterio spiritual, & faz huã das ditas tres cousas : e que nã se faz, quãdo ho religioso blasfema, ou faz outro peccado, que uã seja contra seus votos, ou regra prometida; como despois de Caietano (z : 1. ~~~ Sec. q. 7. ar. ~~~ 1) ho dissemos em outra parte (a : ubi supra n. 50).	Mas quando esto se hiziesse, lo qual feria, quando se pecasse contra voto, o estado votado, como peca el religioso en fornicar entonces avia se de confessar porque haze una de las dichas tres cosas, lo que no haze empero quando el religioso blasphemasse, o hizesse otro pecado, que no fuesse contra sus votos, o regla professada, como despues de Caietano (f : I. Sec. q. 17. art. I) lo diximos alibi (g : f. in d. princ. num. 50).	0.154232	sentences_1552_autosegmented
Porque a circunstancia de religião comũmente não [p. 38, 46 pdf] faz mortal o que de seu não he mortal, nem de outra specie, o que de si he doutra.	Porque la circunstancia de religion, comunmente no haze mortal, lo que de suyo no es tal, ni de otra especie, lo quesuyo es de otra.	1.5307	sentences_1552_autosegmented
13. ¶	21 ¶	1.24	sentences_1552_autosegmented
A XIII Que a circunstãcia do peccar contra sua [13] consciencia : entam somente he necessaria, quando a obra que fez, por nenhũa ley era peccado, se não porque foy feyta contra sua consciencia erronea : Porque entam somente faz hũa das ditas tres cousas, & não outras vezes; como novamente ho decraramos em outra parte (b : f. ubi supra n. 52 ed seq. )	El XIIII † [12] que la confession dela circunstancia de precar contra la consciencia, entonces soamente es necessaria, quando la obra que hizo, por ninguna ley era pecado, sino por ser hecha contra su consciencia erronea. ~~~ Porque entonces solamente haze una delas dichas tres cosas, y no otras vezes, como nuevemente lo declaramos alli (h : f. ubi supra num 58 & 65).	0.316133	sentences_1552_autosegmented
14. ¶	22 ¶	1.24	sentences_1552_autosegmented
A XIIII que ho numero dos peccados, não he corcunstancia, mas addição ou acrecentamento de peccado a peccado.	El XV† [13] que el numero delos pecados no es circunstancia, mas addicion de pecado a pecado, porque la frequentacion es circunstancia, que constituye nuevo pecado.	0.787829	sentences_1552_autosegmented
Porque a frequencia constuve novo peccado acerca do qual dissemos em outra partec (ubi supra, n. 41), que nã abasta dizer : Pequey muytas vezes neste peccado : Pois esta dição muytas vezes tãto se verifica em dez, & ainda em eous, como en cento (d : in c. Monasteria do vita & hon & Geor.	Acerca delo qual alibi (i : f. in c. Consideret. ~~~ nu. 41) diximos primeramente, que no basta dezir, peque muchas vezes en este pecado, porque esta diction (muchas vezes) tanto se verifica en diez, y aun en dos, como en ciento (k : glo. I. c. Monasteria.	0.452871	sentences_1552_autosegmented
in prunei Clement.	de vit. & honesta.	0.28125	sentences_1552_autosegmented
	cler.	-0.3	sentences_1552_autosegmented
	Gregorios I pri.	-0.3	sentences_1552_autosegmented
saepe de verbo signifi) : porque ho Arcediago (e : in c. imitare 6 q. 1 & in princip. d. c. Consideret) teve que si ao qual nã quis reprovar o Ango (f : verb Confessio 1. § z3 )poren reprovouho ho Cardenal Alexandrino (g : in eod. e. imitare).	Clemen. ~~~ Saepe de verb. sign), aunque el Arcidiano (l. c. Imitare 6 q. I & in princi. d. c. Consideret), tuuo quasi, a quien no quiso reprovar Ange. ~~~ (m : verb. Confessio. ~~~ I. § 23) empero reprovou lo, y con razon un Cardenal (n : Alexandrinus in di.	0.0632519	sentences_1552_autosegmented
15. † Dissemos [14] tamben que ho peccador deve decrarar ho numero certo se ho sabe dizendo : Isto fiz tantas vezes.	c. Imitare). ~~~ 23 Lo II† [14] que alli diximos es, que el pecador deve exprimir el numero cierto, si lo sabe, dizendo, esto hize tantas vezes, y si no sabe el numero cierto, ha de echar cuenta, quantas vezes el dia, o semana, o al mes (poco mas, o menos) peco, y dezir el numero cierto mas verisimil.	0.184672	sentences_1552_autosegmented
E se não sabe o conto certo, ha de lançar contra, quantas vezes no dia, ou na somana, ou no mes, pouco mais, ou menos peccou : & dizer o conto certo, que lhe parece mais verissimel : porque peccaria mortalmente, o que por vergnoha ou hypocresia calasse algũa cousa do numero das vezes, que Ihe lembra : & ainda nenhũa causa valeria a confissão, se por sua lata culpa se não lembra, por não aver cuydado nenhũa cousa de seus peccados podendo ho fazer.	Ca pecaria mortalmente, el que por verguença, o hypocrisia callasse algo del numero delas vezes, que se acuerda, y aun si por su lata culpa dexa de acordarse, por no aver pensado enello nada, podiendo lo hazer, y aun la confession no le valdria nada.	1.16783	sentences_1552_autosegmented
16. † Dissemos [15] tamben, que abastaria sem algũ numero decrarar sufficientenente seu estado : como se he molher pubrica, que por espaço de dex annos perseverou naquelle peccado de fornicação : tam aparelhada [p. 39, 47 pdf] pera clerigos, religioso, & casados, como pera solteiros : & despois de convertida se confessasse & disesse, que tanto tempo perseverou no proposito sobredito, como despois de Caietano (h : q. 3 de cons. tell per quo pondero esse text. singularem, i d. c. Consideret ibi quandum perseveraverit & deffleat quod perseveranter peccavit) nos ho concluymos em outra parte (h : in d. c. consideret), ponderando a hiho texto pera isto singular.	24 Lo III† [15] que alli dizimos es, que bastaria sin algun numero declarar bastantemente su estado, como si la muger publica, que por diez [p. 36, 27 pdf] años ha estado aparejada para fornicar, assi con clerigos, religiosos, y virgines, como con legos, sueltos, y casados, y despues de convertida se confessasse, y dixesse, que tanto tiempo estuvo dela dicha manera, aparejada para tan torpe cosa, como despues de un Cardenal (a : Caiet.	1.05098	sentences_1552_autosegmented
Acrecentamos, que aquelle que deixou por espaço de hũ anno de rezar, compriria com dizer : Deixey de rezar hum anno.	in. q. 3 de confessio) concluimos alibi (b : in d. c. Consideret, ibi quantum perseveraverit & defleat, quod perseveranter pecavit) ponderando ay el testo para esto singular, y añadiendo, que aquien dexo de rezar un año, bastava dezir, Dexe de razar un año.	0.621212	sentences_1552_autosegmented
17. Dissemos que se acrecenta ho numero dos peccados, todalas vezes que ho peccado, ou a vontade de peccar interpolada se itera, segundo Joam Andr (i : in regu. ~~~ Delictum.	25 Lo IIII. ~~~ [16] † que se augmenta el numero de los pecados, todas las vezes que el pecado, o la voluntad de pecar enterrompida se itera, segun Ioan And (c : in regul.	0.444141	sentences_1552_autosegmented
col. pen. ~~~ de regul. iur. ii. 6 in mercuriali) : o qual nam ha lugar, quando a mesma obra exterior não se interrompe : como acontece quando algum vay a matar a outro, & caminhando todo ho dia : ora cuydando nisso, ora naquillo : porque este não pecca naquillo mais de soo hum peccado, segundo Caietano (k : in lib. ~~~ 17 respond.	Delictum col. penu. de reg. iuris lib. 6 i mercurial).	0.642688	sentences_1552_autosegmented
respons. ~~~ 15), a quem aly seguimos (l : in d. c. Consideret pa.	Lo qual llanamente procede en los pecados interiores, que dentro del alma se consuman, qual es el odio, qual la heregia.	-0.086941	sentences_1552_autosegmented
	No empero en os que se consuman de fuera por obra exterior : Ca ellos no se dizen iterarse, hasta que no seacabe la obra exterior, o no se interrompa, como acontesce, quando alguno va a matar otro, y caminnado todo el dia, orapiensa enello, ora en al.	-0.3	sentences_1552_autosegmented
53) & ponderamos hũ texto (m : c. Cum pro causa de senten. ~~~ exco. )	Ca este no peca en ello mas de un pecado aunque muy mas grave, segun un Cardenal (d : Caiet.	0.133036	sentences_1552_autosegmented
pera isso muy conveniente : do qual inferimos, que aquella conclusam f. multiplicarse ho peccado tantas vezes quantas se itera : se ha de entender, quando ho peccado despois de hũa vez acabado, se itera : como quando a fornicaçao por obra comprida, se comete outra vez.	in libello 17 respondo 15 resp e in d. princi. nu. 48), que alli (e : ind. princi. nu. 48) seguimos, y ponderamos un testo para ello muy apto.	0.310435	sentences_1552_autosegmented
18. [16] † Quando porem se itera antes que per obra se acabe, nam se multiplica : posto que (ourãdo a obra exterior) muytas vezes a voluntade interior se renove : nem ainda polo contrairo, se rendo a mesma vontade, a obra exterior se multiplique antes que ho delicto se acabe, como mais compridamente ho provamos aly (n : ubi supra).	26 De lo qual inferimos, que no se itera, ni multiplica el pecado, aun que durante la exteriod muchas vezes la voluntad interior se interrompa, y renueve, ni aun por el contrario, si durando la mesma voluntad, la obra exterior se multiplique antes, que el delicto se acabe, como mas largamente lo provamos alli (g : in d. princi. nu. 48), Donde inferimos tambien, ser solo un pecado, todos los actos interiores y exteriores que solamente son camino para un solo pecado, aun que sean enterrompidos, quales son los passos, y el andar, aparejar de cavallo, lança y otras armas, con los desseos enterrompidos, por diversas vezes, hablando, comiendo, y dormiendo, y otras tantas renovados del qual va a matar a otro, de aquí a diez leguas.	0.906009	sentences_1552_autosegmented
Donde tambem inferimos, ser soo hum peccado todolos autos exteriores, & interiores que somente sam caminho pera hum soo peccado, posto que sejam interpolados : quaes sam os passos [p. 40, 48 pdf] ho aparelhar do cavalo, a lança & outras armas con os defejtos interpolados, & renovandos diversas vezes, falando comendo, & dormindo, do que vay matar a outro daqui a dez legoas.	Ca aun que considerandos en si, son muchas, y diversas cosas, pero considerandos como amino, y partes del pecado, que contos ellos se ha de acabar, no hazen mas de uno.	0.297302	sentences_1552_autosegmented
Porque posto que considerados, como caminho, & partes do peccado, que con todos elles se ha de acabar : não fazen mais de hũ : como tãben as pedras, colũnas, & traves, & barrotes de hũa casa, que sam muytas cousas cada hũa dellas por si : porem todas ellas consideradas, como partes da casa não fazem de hũa (e : Eum qui f. de viue).	Como también las piedras, colunas, vigas y otros materiales de una casas, muchas cosas son, cada una dellas por si, pero todas ellas consideradas como partes de la casa, no hazen mas de una (h: Eum qui . ~~~ ff. de usucapio).	0.44114	sentences_1552_autosegmented
19. † Nã dissemos [17] porem ociosamente no corollario (quando sã caminho para outra cousa) porque se ouue intervalo, por mudança de proposito, pera não acabar ho peccado : ou por se arrepender delle, ou por outro respeyto : & despois outra vez ho quisesse acabar, sertão dous peccados distinctos.	27 Desto † [17] inferemos la razón porque, quien ha tenido parte con una, no es obligado a confessar las platicas, besos, y otros actos, preámbulos y immediatos della: y el que la ha tenido dos vezes (aunque immediatas) es obligado a confessar, que la ovo dos vezes: ca la razón es, que la una de las dos copulas no es camino, ni preámbulo, que se ordena a la otra, y las platicas, besos y abraço, si, ala que preceden. ~~~ Todo lo que es muy quotidiano.	0.151976	sentences_1552_autosegmented
Disto inferimos a rezam, porque quem peccou hũa vez como hũa, não he obrigado confessar as palavras, betjios, abraços, & outros autos, ou preambulos immediatos da obra da quella vez primeira.	No diximos empero ociosamente, que son camino, porque si ovo interrompimiento por [p. 37, 27 pdf] proponer de no acabar el pecado, o por arrepentirse, o por otro respecto, y después otra vez lo quisiesse acabar, dos pecados distinctos serian.	0.604518	sentences_1552_autosegmented
E se duas vezes teve parte com ella (ainda que fossem immediatas) obrigato feria a vonfessalas, porque a hũa das duas copulas, nã he caminho, ne preambulo, que se ordena pera a outra.		-0.3	sentences_1552_autosegmented
Mas as falas, betjos, & abraços, que a ella precederão si o que todo he muy quotidiano.	Aun que el dicho Cardenal no aviso esto, que es muy quotidiano.	1.33498	sentences_1552_autosegmented
	Tampoco se dixo sin causa (que solamente son camino para un solo pecado) porque si ellos de suyo son pecados, o se ordenan para ortos pecados, tantos serán ellos, quandos de suyo se son, o quantos los fines malos para que se ordenan: como quien va a matar a un hombre, y de camino hurta, roba, perjura, reniega, o ordena su comer, y beber, su andar, y hablar, no solamente para acabar el homicidio concebido, pero aun para adulterar, infamar, y hazer sacrilegios, y aun añadimos, que como este pecado por mucho tiempo continuado es muy mayor, que si fuera momentáneo, assi quien lo cometiere, y quisiere seguir nostro consejo, se dolerá, mas del, y confessara el tiempo, que poco mas, o menos en ello se ocupo.	-0.3	sentences_1552_autosegmented
	28 [18] Desto inferimos† la respuesta de la question que el muy reverendo señor, y padre fray Antonio de Zurara, a quien yo mucho devo y qioero por sus muy grandes virtudes, saber, prudencia, y otros muchos respectos, nos pregunto, del que mucho tiempo anda tras una mujer, con illigitos amores, si alcançar effecto, quantos pecados peca?	-0.3	sentences_1552_autosegmented
	Ca dezimos, que peca (almenos) tantos quantas vezes interrompe, y renueva aquella mala voluntad, que concibe sin meter, o querer meter por entonces obra exterior alguna para ello, y tantas vezes quantas interrompe aquella mala voluntad, y mala obra exterior, que para ello por entonces pone.	-0.3	sentences_1552_autosegmented
	De manera que si anduvo un dia, o una noche o parte dellos dándole músicas, o esperando oportunidad de hablarle, o servirle para este, mal din mientras que esta voluntad y obra exterior no se interrompieron, no abra mas de un pecado, aunque tanto mas grave quanto mas diuturno.	-0.3	sentences_1552_autosegmented
	Pero si acabada aquella obra exterior, que por entonces quiso hazer, entiende eon otros negocios que no son camino, o preámbulos para ello, y rotna otra vez ala mesma mala voluntad sola, o a la de hazer otra obra exterior semejante, o desemejante dela otra para alcançar su mal fin, hara otro pecado y tiendra tantos que confessar quantos interrompimientos, y renovaciones tales hizo, allende las malas voluntades absolutas, que tuvo sin meter obra exterior, y confessando el numero verisímil dellos, satisfará al piadosissimo señor, cuya misericordia y paciencia es milagrosa en sufruir nos estas muy atrevidas, y desuergonçadas continuaciones de sus ofensas gravissimas podiendo las con un solo ceño assi asperrimantamente casticar, como los castagara si nos castigaremos a nos mesmos antes*.	-0.3	sentences_1552_autosegmented
20. ¶	29 ¶	1.24	sentences_1552_autosegmented
Ho XV [18] que em hũa soo palavra pode o penitente confessar mil, cento, trinta, & dez peccados mortaes, dizendo : mil vezes perjurey, cem vezes forniquey, trinta propus de matar, dez fiz contra meu voto &c. Porque a esta confissam não lhe falta nada polos dizer todos com tã paucas palavras, pois sam tam craras : como em outra parte (o : in d. c. Consideret n. 110) provamos [p. 41, 49 pdf] despois de Caietano (p : Tomo z, d. contritione q. z).	El XVI que en una palabra puede el penitente confessar mil pecados mortales como diziendo mil vezes blaspheme, mil vezes perjure, mil vezes fornique, mil vezes perpuse de matar, mil vezes hize contra mi voto, o juramento, diez vezes aconseje que alguno perseverasse en pecado mortal, talc osa hize tantas vezes a fin de fornicar & c. Porque a esta confession no le galta nada, por dezir los todos, con tan pocas palabras pues son tan claras como lo provamos alibi (a : In princ. di Consideret. ~~~ numero 110) despues de un cardenal (b : Caiet. ~~~ tom. ~~~ 2. de contri. q. 2).	0.0596445	sentences_1552_autosegmented
21. ¶	30 ¶	1.24	sentences_1552_autosegmented
[19] Ho XVI que a circunstancia do escãdalo, em duo casos se ha de confessar necessariamente, segundo todos, como em outra parte ho dissemos (q : in c. Consideret § Animadvertere n. 5) porque nelles faz algũa das tres cousas sobreditas.	El XVII † [19] que la circunstancia del escandalo, en dos casos se ha de confessar necessariamente, segun todos, como alibi (c. In c. I § Animadvertere n. 5 de poen. d. 5) lo diximos.	1.62451	sentences_1552_autosegmented
Lho primeyro he, quando ho escandalo he formal .	Porque enellos haze alguna de las tres cosas suso dichas.	0.241463	sentences_1552_autosegmented
f. quando algũa cousa se disse, ou fez, com proposito de provocar a outro a peccado mortal : & não somente ha de confessar o que fez ou disse com a dita tençao : mas tambem ha de dizer ho genero do peccado, ao qual o entendia provocar (q : Per dicta supra in c. Praecedenti).	El primero quando el escandalo es formal, esto es quando alguna cosa se dixo, o hizo, con animo de provocar a otro a pecado mortal, y no solamente ha de confessar lo que dizo, o hizo con la dicha intencion, mas tambien ha de dezir el genero de pecado, al qual entendia provocar (d : per dicta supra in c. praecedenti).	1.62155	sentences_1552_autosegmented
Lho II quando com sua obra em si boa, ou indifferente, mas maa ao que de fora parece, daa occasião a outro de cayda mortal.	El segundo quando con obra buena, o indifferente de su casta, y mala en la especie o muestra, da occasion de pecar mortalmente.	0.910149	sentences_1552_autosegmented
Em o terceyro sam diversos os doctores .	En otro tercero, son diversos los doctores, conviene saber, quando uno peca mortalmente en presencia de otros, sin intencion de los atraher apecar mortalmente.	-0.27549	sentences_1552_autosegmented
f. quando hũ pecca mortalmente en presença de outros, sem tenção de os trazer a peccar mortalmente, porque Adriano (q : de sacramento confess. q. 4. colu.	Ca Adriano (e : in 4. de consacr. confess. q. 4. co. ~~~ 4), Mayor (f : In.	0.367308	sentences_1552_autosegmented
4) Mator (r : in 4. d. 38 q. 3) & Silvestre (s : verb.	4. d. 38. quaest. 3), & Sylvestro (g : verb. Scandalum quaest. 3) sienten que si : Pero S. Thoh (2.	1.32713	sentences_1552_autosegmented
Scandalum.	Sec. q. 43. artic.	0.163636	sentences_1552_autosegmented
q. 2. §3)senten que si poren S. Thomast sente que não em quãto diz que posto que mais gravemente pecca, o que pecca em publico, que o que em secreto : Porem isto não passa em peccado de escandalo special : ho mesmo tem, Caietanou.	3) siente que no, en quanto dize, que puesto que mar gravemente peca el que peca en publico, que el que en secreto : pero esto, no lo passa en pecado de escandalo especial.	1.905	sentences_1552_autosegmented
(u: in Summa verb. ~~~ Scandalum).	Lo mesmo tiene Caiet (i. In summa verb. Scandaum).	0.046875	sentences_1552_autosegmented
Mas a nos parecenos o que hahi nos pareceo (x : in §animadvertere n. 9) .	A nosotros parece nos lo que alli (k : f. § animadvertere. ~~~ nume.	0.31248	sentences_1552_autosegmented
f. que a opentão dos primeyros proceda, quando ho tal peccado se comete port al pessoa, & em presença de taes, que provavel & verisimilmente tomrão nova occasião de peccar & a de sancto Tho. ~~~ quãdo não se faz port al pessoa, nem em presença de taes, como ally mais nos extendemos.	9) nos parecio, es a saber que la opinion de los primeros, proceda, quando el tal pecado se comete port al persona, o en presencia de tales, que probable, y verisimilmente tomaran nueva occasion de pecar : y la de S. Tho quando no se haze port al persona ni delante tales : como alli lo extendimos mas.	0.619958	sentences_1552_autosegmented
22. ¶	31 ¶	1.24	sentences_1552_autosegmented
Ho XVII [20] he de notar que aquelle que confessandose, lhe esqueceo a circunstancia necessaria : não he obrigado a confessar outra vez ho peccado ja confessado, porque confesse a circunstancia : mas abasta que confesse somente a circunstancia.	El XVIII [20] es de notar que el que confessando se, olvido la circunstancia necessaria, no es obligado a confessar otra vez el pecado ya confessado, mas basta que confiesse la circunstancia sola.	1.19241	sentences_1552_autosegmented
Exemplo [p. 42, 50 pdf] jourou hũ de não poer mãos violentas em clerigo, ou não furtar : & despois ferio ou furtou, & confessa, que auta feyto taes cousas, mas esque ceolhe que avia jurado de as não fazer : não he necessario a este confessar, os peccados ja confessados outre avez, porque confesse a circunstancia do juramento mas abasta que diga que duas ou tres ou quatro out tantas vezes quebrantou os juramentos licitos & sanctos ou diga que fez hũas obras em si, ou por circumstancia maa, contra o que auta jurando, como em outra parte (y : in c. Consideret d. penit. d. 5. n. 104 ca. seq. )	Exemplo, juro uno de no poner manos violentas en clerigo, de no hurtar, no fornicar, no blasphemar, y despues hirio, hurto, fornico, y blasfpemo, y confesso que avia hecho tales cosas, mas oluidose, que avia jurado de no hazerlas : no es necesasrio a este conessar los pecados otra vez, para confessar la circunstancia del juramento, mas basta que diga, que dos, tres, quatro, o tantas vezes quebranto juramentos licitos, y sanctos : o diga que hizo unas obras en si, o por circunstancias malas, contra lo que avia jurado como alibi (l : In d. c. Consideret. ~~~ nume.	0.566017	sentences_1552_autosegmented
ho provamos mais largamente	104) lo provamos mas largamente	1.464	sentences_1552_autosegmented
