azp1556_ch17_0,"<root><div type=""chapter""><p>"
azp1556_ch17_11,"Diximos (por lo qual se buelue lo suyo a su due ño) † para significar, que cōforme conforme al dicho de S. August. b c. Si res alie na. 14. q. 6. y de Innocencio c c. S ępe. de re stitu. spo., y a todo lo que los doctores dizẽ dizen sobre ellos, y Caieta. d Vtroq; Vtroque loco supra citato. en otras partes: qualquier que tiene cosa age na contra la voluntad de su due ño, es obligado a restituyrla: aunq̃ aunque de vna manera, si la ouo y tuuo con buena fe, y de otra si con ma la: Porque si con buena fe, pensando que la tomaua, y tenia justa mente, no es obligado a restituyrla, si la perdio, o se le perecio sin mal enga ño e l. Qđ Quid te mihi ff. đ de reb. credit. cũ cum ei annotat., y sino se hizo mas rico con ella: aun que si, si tiene la misma cosa, o se hizo mas rico con ella, en quanto a lo que se enri quescio f l. Sed etsi. §. 1. &amp;. l. Item ve niunt. §. 1. ff. de petit. h æred.. De manera que aun que con buena fe ouiesse compra do algo que no fuesse del vendedor, obligado seria a restituyrlo a su due ño, luego que supiesse ser suyo, aun sin boluerme el precio, que por ella auia dado g l. Mater. &amp;. l. Si mancipiũ mancipium. C. de rei vẽdicat vendicat.: y tābien tambien lo que por ello enrriqueci, como si vendi lo que me dono el que no era se ñor dello, aunque no ten ga lo mismo que me dono por lo auer vendido: pues tengo en su lugar, su precio, y en algo por ella me he enrriquecido h Argu. l. Sed etsi. §. 1. &amp;. l. Itẽ Item veniunt. §. 1. ff. de petitio. h æ redita. ."
azp1556_ch17_12,"† Aun q̃ que si lo ouiera comprado, y despues (antes que supiesse ser ageno) lo torne a vender por el mismo precio, que lo compre, no seria obli gado a restituyrlo i Arg. l. In cre ditore. &amp;. l. Cũ Cum ea. ff. đ de euictio., porque no tẽgo tengo mas de lo mio. Mas si lo ven diera por mas de lo que me costo, obligado seria a restituyr aq̃llo aquello, en que me hize mas rico. Porque quanto a aquello, tẽgo tengo lo ageno, o otra cosa por ello, y no quanto a lo de mas, como lo dixo bien Caieta. k Verb. Resti tutio. cap. 1. &amp;. 2. Sec. q. 62. ar. 6. ꝓ pro quo est. d. Aun que callo, que enel fuero exterior me mādarian mandarian bol uer todo el precio al que me le compro, por via de euiction l Sed etsi. &amp;. l. Item veniunt. l l. 1. &amp; per tot ũ totum. ff. đ de euictio. &amp; cap. final. de emptio.."
azp1556_ch17_13,"Ansi † mismo, si combidado a cenar, comiste de vna ternera agena, aun que serias obligado a restituyr todo lo que comiste, si cō con mala fe (sabiendo que era ageno) lo comiste: pero si con buena fe lo hizi ste, solamente seras obligado a lo que por comer alli, ahorraste en tu casa, y no quanto comiste: y sino ahorraste nada, a nada seras o bligado. Porque solo lo que ahorraste, te queda de aq̃lla aquella ternera agena. Lo mismo se ha de dezir del vso del vestido ageno, que pen sauas ser tuyo. Ca si por traer aquel, guardaste otro tuyo, obligado seras a pagar el vso, o quanto por el ahorraste y no mas."
azp1556_ch17_14,"* Es empe ro duda notable, si el que cōpra compra algo con buena fe, aquien vẽde vende lo ageno: certificado dello, lo puede boluer al vendedor, y cobrar su dinero: y creemos que si, con Alexādro Alexandro Hallense doctor irrefraga ble a 4. part. quem Gabriel &amp; ali quot alij sequũ tur sequuntur.: aunque Medina tenga lo contrario, quando cree, que el ven dedor nunca lo restituyra: lo qual en algun caso podria proceder, pero no comunmẽte comunmente b Nam qui ni mis emũgit emungit, eli cit sanguinem. cap. Deniq; Deniqiue. 4. dist."
azp1556_ch17_15,*.
azp1556_ch17_16,"Quiẽ Quien † con mala fe tomo, o tuuo cosa age na, obligado es a restituyr la misma cosa, si puede, y si no, quanto ella valia, quando la tomo, y quāto quanto mas valio despues: aun que sin culpa suya se aya perdido, o perecido: Porque quien con mala fe cōtrata contrata, y tiene lo ageno, siempre tarda en lo restituyr, y a su da ño perece c l. Qđ quid te mihi ff. de reb. credi. c. Mora. cum ei annotatis. de re gul. iur. lib. 6.. Y aquel se dize tener buena fe en esta materia, que (aun que ansi no sea) cree ser suya la cosa, o de quien se la dio, o que el que se la dio, tenia derecho para la enagenar d ca. Si virgo. 34. q. 11. gl. in c. Si diligẽti diligenti. de pr æscript.. No lo tiene empero tal el que en ello duda: porque la buena fe, y la duda, no se compa decen, aunque la buena fe y el escrupulo si, como en otra parte e In ca. Si quis autẽ autem. de p œnit. dist. 7. mas largamente lo diximos, despues de Caietano, y otros: quādo quando el escrupulo no es tal, que causa remordimiento de consciencia de ser la cosa agena."
azp1556_ch17_17,"A ñadimos † mas en la diffinicion (se paga, o con tenta) porque no solamẽte solamente se dize restituyr, el que paga: pero aun el que sin pagar, contenta a quien es en cargo f l. Si rẽ rem. §. Oĩs Omnis ff. de pig. actio. &amp;. l. 1. ff. qui sa tisda. cog. gloss. in verb. dimiti tur. c. Peccatũ Peccatum. de reg. iur. li. 6., como luego lo di remos. A ñadimos (de salud &amp;.c) para significar, que no solamente es obligado a restituyr el que da ñifica en los bienes de la hazien da, pero aun el que en los bienes de la honrra, y fama: y aun el que en los del anima g Supra. c. 14. nu. 26., y del cuerpo h Supra. c. 15. n. 19. cum seq., en la manera arriba dicha, segun todos i In. 4. d. 15. &amp; Antoni. 1. part. titu. 2. cap. 2.."
azp1556_ch17_18,"¶ Quien ha de restituyr. SVMARIO. Restuyr quien deue, por vna regla que comprehende veynte ma nos &amp;c. numero. 12. con declaracion de cada parte della. nu mero. 13. &amp;. 14. Y qual fuer ça obliga a ello enel fuero exterior, qual en el inte rior. numero. 5. &amp;. 16. Restituyr obligan a mas, el delicto y quasi delicto, que el cōtracto contracto y quasi contracto: y como es mas obligado el malhechor, que el consentidor de nueue maneras. numero. 17. 18. 19. &amp;. 20. Cabildo o vniuersidad, do no contradize al mal acuerdo. nu. 21. Confessor quando obligado a restituyr, por no lo mādar mandar. Y descu brir se puede, a los herederos el c argo del muerto. numero. 22. &amp; numero. 23."
azp1556_ch17_19,"DEsta diffinicion, † y su declaracion se puede co legir, quien, que, a quien donde, como, por que orden, y quando se ha de hazer la restitu cion, y que causa escusa della: todo lo qual co piosa, y grauemente tracto S. Antonino a 2. part. tit. 2. ca. 2. &amp; septem sequent., des pues, y antes de otros. Coligese pues lo primero, quien es obligado a restituyr, porque della se colige la regla, que todos los antiguos doctores sintieron. s. que todo y solo aquel es obligado a restituyr, que tiene alguna cosa agena, o su valor, o la deue por contracto, o quasi contracto, por ordenan ça, o ley ju sta, q̃ que obligue la consciencia, por sentẽcia sentencia justa, o vltima voluntad por delicto, o quasi delicto. Porq̃ Porque todo, y solo tal tiene lo ageno, o ha hecho da ño en persona, honrra fama o hazienda. Esta regla cō prehende comprehende breue, clara, y resolutamente aquellas veynte manos. s. fœneratoria, raptoria. &amp;c. que puso S. Antonino b 3. part. tit. 2. c. 1. §. 2., y los diez y siete dichos, que ayunto Syluestro c In sum. ver. restitutio. &amp;. 2. Sec. q. 62.: y las dos reglas, o rayzes de Caieta no muy recebidas, y fundadas enel tomar: y retener injustamente lo ageno: y la tercera, que se compone dellas: y aun la quarta, del tomar justo, que queda fuera dellas, y esta incluye lo que Caieta no quiso incluyr por aquellos sus vocablos obscuros, y poco vsa dos de acepcion injusta propria, &amp; impropria."
azp1556_ch17_20,"Diximos † en esta regla (que tiene alguna cosa agena, o su valor) por lo que arriba se toco d supra in hoc c. in declaratio ne diffinitionis n. 11. &amp;. pōt potest col ligi ex ti. de rei vendi.. A ñadimos (o la deue por contrato) por las deudas de com pras, ventas, truecos, prestamos, de dar, y tomar por alquiler, y de otros pactos, y conciertos voluntariamente hechos e Per tit. de pa ctis. de trāsact transact. ff. &amp;. C. Et ex to to 4. C. &amp; ex to ta. 2. par. ff. vete ris. &amp;. tit. de ver bo. obliga.. Diximos (o quasi contracto) por las deudas, que el tutor deue al pupilo, o el heredero al legatorio, o el hazedor de negocios del absen te, sin su mandado al absente, o el absente a el f Inst. đ de oblig. qu ę ex quasi cō tractu contractu nas. §. 1. §. Tutores. §. Heres.. Dixo se (por ley, o ordenan ça justa, que obliga la consciencia, o por vltima voluntad) por lo que se deue ab intestato, o por testamento, o por Ley g ff. &amp;. C. de le g. h æredi. de testam ẽt testament. de lega. &amp; fidei comi. &amp; aliis titul.. A ñadio se (por sentencia justa) por las penas, que el Iuez por sentencia justa manda pagar h Tho. 2. Secũ Secun. q. 62. arti. 3. ."
azp1556_ch17_21,"Diximos, † (por deli cto) por lo que se dene por delictos, con que se da ña el bien age no, del anima i c. Deterĩores Deteriores 6. q. 1. &amp; toto. ti. ff. &amp;. C. đ de ser. corrup., quales son las virtudes: o del cuerpo, quales son los homicidios, mutilaciones de miembros, o otras heridas k Tit. de homic. &amp; ad legem cor nel. de sica.: o de la honrra, fama, o amistades: quales son las disfamaciones, injurias, murmuraciones, o malsindades: o de la hazienda, qua les son los hurtos, rapinas, y otras fuer ças absolutas, que se hazen contra todo consentimiento del for çado a C. &amp;. ff. de fur. vi. bonor. rap. vnde vi. qđ quod vi. aut clam.: o condicionales, que se hazen con su voluntad for çada por temor. Lo qual es verdad (se gun todos) del temor que injustamente se pone, y es tan grande, q̃ que puede caber en constante, y prudente varō varon, aun que por su culpa caya enel b tex. sin. in. l. Si mulier. ff. qđ quod met. cau. cui si milis in. cap. Ve niens. de spon.. No empero del q̃ que justamẽte justamente se le pone, o por el juez c l. 3. ff. quod met. caus., o por otro, q̃ que con derecho le podia hazer el da ño temido d l. Nec timo rem. ff. qđ quod met. caus.."
azp1556_ch17_22,"Ni aun † del que injustamente se pone, sino es tal, que puede caber en cō stante constante, y prudente varon, quanto al juyzio exterior: quāto quanto al qual ygual cosa es, que vno consienta de grado, o por tal temor e l. Metũ Metum. 2. ff. Qđ Quod met. caus. &amp; c. Abbas. adiun cta. glos. verbo. Coactus de his qu æ vi.. Quā to Quanto al juyzio empero dela consciencia no, antes es ygual cosa, que se consienta por sufficiente temor iniustamente puesto, o por in sufficiente: con tanto, que sea verdad delante de Dios, que aquel temor fue causa principal dello, como lo dixo bien Adrian. f in. 4. đ de resti. q. 2. col. 4. No nos parece empero bien lo que a ñadio a esto Caie. g In sũma summa ver. Restitutio. §. Quia vero.. s. ser ygual co sa (quanto al fuero de la cōsciencia consciencia) que vno cōsienta consienta por temor, o por halagos, o ruegos blādos blandos, y amorosos. Porque (segun el dize) no menos se quita la libertad del animo con estos, q̃ que con el temor."
azp1556_ch17_23,"Lo qual †, no nos parece justo, por ser contra ley expressa h l. fin. C. si ꝗs quis aliq. test. prohi., y con tra S. Thom. i 1. Secũ Secun. q. 6. articu. 6. en quanto determina, que la passion de la concu piscencia no causa inuoluntario, como la del temor: y contra su ra zon. s. que el miedo diminuye el consetimiennto, y la concupiscen cia, y blandura lo augmenta, y porque es nueua doctrina mal fun dada en derecho. Aun que podia proceder, quando los ruegos, y halagos, y blanduras tienen debaxo de si encubiertas amenazas, y durezas, como las suelẽ suelen traer los ruegos de algunos se ñores, que da ñan a los que no les hazen su volũtad voluntad. Y ansi nos parece, que lo que las mugeres malas alcā çan alcançan por sus ruegos blandos de sus ami gos, no son obligadas a restituyr, si lo alcan çaron, sin enga ños, mẽ tiras mentiras, y fraudes, de quiẽ quien lo podia donar, o dar gracioso, aun que lo contrario tiene Caie. k vbi supr. sin texto, ni razon necessaria."
azp1556_ch17_24,"* Diximos (por quasi delicto) por lo que se deue por quasi delicto: Qual es lo que deue el Iuez, que mal sentencia por ignorancia, o por falta, de experiencia l In princi In stitu. de obliga. qu æ ex quasi delict.: Qual lo que deue aquel, de cuya casa se echo algo a fuera, con que se hizo da ño a otro m §. 1. Inf. eo dem titu.: Qual lo que el mesonero, o maestro, o factor de la naue, por lo que algun otro furto, o da ño de la hazienda, que el huesped, o passagero le encomendo n §."
azp1556_ch17_25,Item eod. titu. &amp; lib.. *
azp1556_ch17_26,"¶ Desto † inferimos, q̃ que aunque comunmente nadie sea obligado a restituyr lo que se deue por contrato, o quasi contrato, sino el que contrahe, o quasi contrahe y sus herederos, y fiadores, aun que mu chos otros aconsejan, o cōsientan consientan enellos a c. Nullus. de regu. iur. li. 6. l. Consilij. ff. eo. Panor. in. c. Nu per. de sentẽtia sententia excōmunic excommunic.: pero a restituyr lo, que se deue por delicto, o quasi delicto, diez maneras de personas son obligados. s. el malhechor, y los que cōsienten consienten enello en alguna ma nera de las nueue arriba b c. 11. n. 12. declaradas, y despues c c. 13. &amp;. 16. tocadas. s. el que manda, aconseja, consiente, alaba, recoge, participa, calla, no estor ua, o no manifiesta: y dezimos, que todos, y cada vno destos, son obligados a restituyr, no solamente lo que les cupo, mas aun todo aquello de que su consentimiento fue causa, y no mas, ni menos, aun que no les ouiesse cabido, sino parte dello, o no nada, segun la mẽte mente de S. Tho. d 2. Sec. q. 72. arti. 7. y la declaracion de S. Anto. e 2. part. tit. 2. cap. 1. §. 7. &amp;. 8 y la Comun. Ay em pero entre estos, esta differencia, q̃ que el malhechor siempre es obliga do, y los otros no, sino quando su consentimiento es causa dello. De manera, que el que hurta, mata, o da a vsura, o haze otro seme jante delicto, hora lo haga por su proprio motiuo, y prouecho, ho ra por consejo, mandado o prouecho ageno, obligado es siempre a restituyr: porque es efficiẽte efficiente, y verdadera causa del delicto, aunq̃ aunque no sea por ventura entera."
azp1556_ch17_27,"† Y por consiguiente, assi como quien hiere, o mata al proximo por mādado mandado ageno, para solo prouecho de quien se lo manda, es obligado a satisfazer al herido, o a los he rederos del muerto: Assi el criado del vsurero, que por mādado mandado de de su se ñor para prouecho del solo da los dineros a logro, es obli gado a restituyr, como singularmente lo dixo Caie. f In sũma summa ver. Restitutio. &amp;. 2 Secũ Secun. q. 62. art. 7. quāuis quamuis Palu. contra in. 4. d. 15. qu æst. 2."
azp1556_ch17_28,"† Ni lo escu sa el dezir, que si aquel criado no lo diesse, otro lo daria: como tā poco tampoco al que hiere escusa, q̃ que si el no lo hiriera, otro le ouiera herido. Ca si vn se ñor dixesse a sus criados, que matassen a hulano, y que riendo y podiendo lo matar cada vno dellos, vno se adelātasse adelantasse, no seria mas escusado de la restitucion de la vida que le quito, que de la muerte, que le daran por justicia. Los otros seis. s. el que manda, aconseja, da consentimiento, recoge, alaba, o participa (aun que siempre pequen) no son obligados a restituyr, sino quando se si guio el da ño, o el delicto, o ellos fueron tal causa parcial dello, que si su consentimiento no entreueniera, no se ouiera seguido g Arg. cap. F ęli cis. §. illud. de p œnis. lib. 6. adi ũcta adiuncta. glo. verb. Simplici. &amp; do ctrina lo. And. &amp; aliorũ aliorum ibi. &amp; in. c. 1. de offic. delegat. ."
azp1556_ch17_29,"† Y los otros tres. s. el que calla, el que no estorua, y el q̃ que no manifiesta, aun que pequen no haziendo esto, pero no son obligados a resti tuyr, sino quando por su officio eran obligados a ello, aun que en ga ñosamente, y con mala voluntad lo callassen, dexassen de estor uar, o manifestar, segun la opinion comun de quasi todos, como lo dixo bien Adria. h in. 4. de resti tu. q. 1. col. 12. &amp; Syl. verb. Re stitutio 3. q. 6. distin. 3. aunque Angel. siguiendo a Richard. diga lo contrario."
azp1556_ch17_30,"* Desto inferio bien Soto, a libro. 1. q. 7. arti. 3. de iusti. &amp; iure. que si vno hallasse al ladrō ladron hurtando a su vezino, y tomasse del algo, porque callasse, no seria obligado a restituyr lo que el otro hurtasse, ni lo q̃ que tomo, si era del ladron: con tanto, que fuesse persona, q̃ que por justicia no fuesse obli gado a bozear, o dezirlo: y aun a ñade, que no seria obligado a re stituyr, aun que al mesmo vezino preguntādole preguntandole, si auia visto algo se lo negasse, puesto que otra cosa seria, si al que bien pregũtasse preguntasse, le negasse mal"
azp1556_ch17_31,"* Por su officio son obligados a esto los juezes, y se ño res, que lleuan salario para hazer guardar la justicia, y aun (a nr̃ nuestro parecer) los padres, tutores, y curadores, quanto a los bienes de sus hijos pupilos, o menores b Arg. l. Cũ Cum nō non solũ solum. §. vbi autẽ autem &amp; aliis sequen. C. de bon. qu æ lib. &amp;. c. duo. 23 qu æst. 4.."
azp1556_ch17_32,"* No queremos empero dezir, q̃ que el juez es obligado siẽpre siempre (no obstante qualquier peligro de muerte o he ridas) a estoruar qualquier da ño, sino quādo quando lo puede hazer sin te meridad como (a nr̃ nuestro parecer) lo sintio S. Tho. c 2. Sec. q. 6. 2 art. 6. ad. 3. ibi nō non multũ multum immi net periculũ periculum. Porq̃ Porque, como lo di xo bien Sylue. d In Rosa au rea casu. 50. no es obligado el official cō con peligro prouable de su vida y estado, a saluar la persona, o estado de otro particular, aũ aun q̃ que si, a la republica, quādo quando la razō razon lo requiere, a nr̃ nuestro parecer e Arg. l. Mini mè. ff. de religi. &amp; sump. &amp;. l. Vt patri ę. ff. de iu stitia. &amp; iure.."
azp1556_ch17_33,"* De do se sigue,"
azp1556_ch17_34,"† q̃ que quien en cabildo, camara, o otra vniuersidad, dōde donde la mayor parte vence f l. Quod ma. ior. ff. ad muni. c. 1. de iis qu æ fiunt à maio. part. capi., y donde publicamẽte publicamente votan, y los menos se cōforman conforman cō con el parecer de la mayor parte, aun q̃ que peque ( cōsentien do consentiendo en el delito segun Innocẽ Innocen. g in. d. c. 1. ) pero no es obligado a restituyr el da ño, que de aquel mal acuerdo se siguio, porq̃ porque no fue causa del, pues aun que el lo contradixera, se hiziera, como lo dixo Caieta. h verb. Resti tutio. c. 1. ꝑt part. 5. y bien, para los en que lo que votarō votaron, no pueden reuocar los votos que dierō dieron: y para los en q̃ que el q̃ que vota, conoce, que por su voto no mu dara la mayor parte lo que tiene votado: pero no, para los en q̃ que co noce, que por su contradicion se reuocaria lo hecho: ca si en ellos (en lugar de contradezir) consintiesse, puede se dezir su consenti miento, causa parcial dello, pues por su officio era a ello obligado, por lo dicho."
azp1556_ch17_35,"† A ñadimos tambien que el confessor, que por igno rancia crassa, o affectada absuelue sin restituyr, o mandarle que re stituya al que es obligado, (estando el penitente aparejado a ello) queda obligado a restituyr, porque causo que el da ñificado no o uiesse lo suyo i Rosella. verb. Restitutio. 2. §. 5. Angel. eod. verb. vlti. §. 5.. Lo qual parece verdad enel confessor, q̃ que vee, o cree, que si el no le manda restituyr, no lo restituyra, y si le manda, si. Y no en el que solamente cree, que es obligado a restituyr, y no se lo manda, o por descuydo, o porque piensa, que el mesmo penitente terna cargo dello. Porque este no da causa de no restituyr."
azp1556_ch17_36,"† A ñadi mos tambien que los Parisien. k s. Maior. in. 4. d. 21. q. 3. co lu. 4. tienen por cosa difficil, que el con fessor descubra a los herederos, de quien con el se confesso, y le en cargo, que despues de su muerte les manifestasse, q̃ que restituyessen aquello, en q̃ que quedaua obligado. Porq̃ Porque por ello parece descubrir el pecado del penitẽte penitente, que se confesso con el. Ni es marauilla, que ellos tengan esto, porque siguen la opinion de Scoto a in ead. d. 21., que el con fessor no puede descubrir la confession del penitente, aun con su li cencia, Pero a nosotros, que seguimos, y prouamos b in. c. sacerdos de p œnit. d. 6. à nu. 116. vsq; vsque ad. n. 120. la de S. Tho. y comun, no nos parece difficil, pues por tal cargo se da expressa, o tacita licencia para lo descubrir c Arg. l. 2. de iu ris. oĩm omnium iud. c. Pr æterea. de of fic. delega. despues."
azp1556_ch17_37,"¶ Que se restituyra. SVMARIO. Restituyase lo ageno ello mesmo, si se puede. nu. 24. y los fructos si es fructifero, y lo que mas valio, y el interesse. nu. 25. &amp;. 26."
