azp1552_ch17_0,"<root><div type=""chapter""><p>"
azp1552_ch17_72,"† Segue ſe tãb ẽ tambem, que ſe ho acreedor deyxa de pedir ſua diuida por temor, ao menos reuerencial, ou por n ão ſaber q̃ que lhe he deuida, ſeu deuedor pecca em n ão pagar, ſe pode, ainda que lho n ão pe ça, ſe a j̈uy ʒo de b õ var ão deuera pagar: porq̃ porque n ão tem quita ç ão, nẽ nem dila ç ão voluntaria do acreedor. Mas n ão pecca por n ão pagar, ſe ho acreedor ſabe q̃ que lha deue, ⁊ deyxa de lha pedir ſem medo algũ algum, nem outro re ſpeyto, por onde ho fa ça contra ſua vontade: porque parece que con ſente nã não dila ç ão Ang. Mo ra. §. 1. Syl. eod. §. 1.."
azp1552_ch17_73,"† Se gue ſe tambẽ tambem que quem deue a outro alg ũa cou ſa em geral. ſ. hũ hum e ſcrauo, hũ hum boy, ou caualo, ou t ã tos alqueires de trigo, ou tantos almudes de vi nho, ou q̃l q̃r qualquer outra cou ſa em geeral, n ão ſe e ſcu ſa da paga ou re ſtituy ç ão, ainda q̃ que por fogo, ou por outra qualquer mofina ⁊ ca ſo fortuito ſe lhe queyma ſ ſem, ou  ſtruy ſ ſem todas ſuas cou ſas l. Inc ẽdi ũ. C. Si cert. pet. notat. ĩ l. Quod te mini. ff. de reb. cred.: ⁊ has que tinha ꝑa para pagar, ainda q̃ que c õm ũm ẽte ſe ra e ſcu ſado o q̃ que he obrigado em ſpecie a pagar e ſte ou aquelle e ſcrauo, caualo, boy, ou outra cou ſa, ſe perece ſem ſeu engano, ou culpa, primeiro que tarde em a re ſtituyr: nem ainda de ſpois da tardan ça (ao menos em ho foro da con ſciencia) ſe a cou ſa que ſe perdeo a ſ ſi ouuera de perecer ẽ em poder do proprio ſe ñor, como do deuedor, hora Syl. verb. Re ſtitutio. 7. .§. 5. ſe deue ſ ſe por contracto, hora por delicto. Mas n ão ſera e ſcu ſado, ſe con ſta, ou ſe duuida q̃ que pri meyro que a cou ſa perece ſ ſe, ho ſe ñor a vendera ou lhe fora proueyto ſa. Aquelle ſe di ʒ cometer tardan ça em re ſtituyr a cou ſa alhea, q̃ que a n ão re stituyo logo que ſoube ſer alhea, podendoa re ſti tuyr l. Quod te mihi. ff. Si cert. pot., ⁊ n ão auia alg ũa cau ſa ju ſta pera a reter, como por re ʒ ão de algũs alguns ga ſtos, que cõ com boa fe nella tiue ſ ſe feyto, ou por ju ſto erro cuydar que era ſua."
azp1552_ch17_74,"¶ A ſegunda cau ſa que e ſcu ſa da paga ⁊ re ſtituy ç ão ao que deue por contrato ou delicto he ( ſe gundo algũs alguns q̃ que ponco ſab ẽ (ho doar ou ꝓcurar que ſe dee ao acreedor algũ algum beneficio eccle ſia ſti co: ho qual he fal ſo, como ho prouamos ẽ em outra parte in. c. Cum ſec ũd ũ. de pr æb., porque n ão e ſcu ſa, ainda do q̃ que ſe deue pol los ſerui ços, como ali tambẽ tambem ho approuamos. Po ſto que ſe de ſpoys de lhe dar, ou procurar o tal beneficio gracio ſamente, o q̃ que recebe liurem ẽ te por conhecimento daquella merce, lhe perdoa a diuida, ſera ho deuedor liure de ſua re ſtituy ç ã. E o me ſmo (pela me ſma reʒ ã reʒam) ſe ha  de di ʒer dos officios que ſem ſymonia ou peccado ſe n ão po d ẽ comprar, ou vender: Ainda que n ão dos ou tros que ſe compr ão ⁊ vend ẽ, porque cõ com a dada ou procura ç ão delles, aa cu ſta do q̃ que os procura, bem ſe pode fa ʒer paga. Arg. c."
azp1552_ch17_75,To t ũ. i. q. 3.
azp1552_ch17_76,"¶ A. iij. cau ſa † que tambem e ſcu ſa do peccado de n ão re ſtituyr, he a prouauel, ou ju ſta igno rancia do feyto, como crer prouauelmente, que era a cou ſa ſua, pola auer herdado: ou que a n ão deuia, por ſer diuida feyta por ſeu pay. E t ã bem a ignorancia do dereiro e ſcuro ⁊ po ſto em openi ões, alg ũas ve ʒes e ſcu ſa: e ſpecialmente qñ quando letrados de ſciencia ⁊ c õ ſci ẽcia lhe di ʒ ẽ que n ão he obrigado a re ſtituyr. Por q̃, como aq̃lle aquelle q̃ que por mandado do medico que he tido por docto, rece be me ʒinha pera ſi, ou pera outro, he e ſcu ſado  de homicidio (ainda q̃ que moura) o que a tomou Per notata per Innoc. in c. Tua. de homic. : A ſ ſi o que ſem affey ç ão de ſordenada, cõ com cora ç ão lim po, de ſejando ſaber a verdade, pregunta a tae ſ q̃ que c õm ũmente ſam tidos por doctos ⁊ b õs, ⁊ que n ão deixar ão de lhe ac õ ſelhar a verdade por af fey çam: ⁊ elles lhe di ʒem, que n ão he obrigado a re ſtituyr: he e ſcu ſado do peccado  de n ão re ſtituyr ainda q̃ que verdadeyram ẽte fo ſ ſe obrigado a i ſ ſo. Arg. gl. ſi gul. &amp; rece pta in c. Ca pellanus. đ feriis. Mas n ão ho ſera, o q̃ que preg ũta, a aq̃lles aquelles q̃ que lhe pa rece, que lhe dir ão o que elle queria, ⁊ ſe i ſto lhe n ão parece ſ ſe n ão lhe faria a tal pregunta: nẽ nem me nos o que pregunta a muytos, q̃ que lhe di ʒ ẽ, q̃ que he o brigado, ⁊ n ão ce ſ ſa de preguntar a outros, ate q̃ que ache algũ algum, que lhe diga, que ho n ão he, ⁊ cree a e ſte mais que a todolos outros. Como t ã pouco ſeria e ſcu ſado de homicidio, o q̃ que por n ão ga ſtar, ou n ão tomar me ʒinha amargo ſa, deixa ſ ſe o pare cer de medicos b õs ⁊ doctos, ⁊ ho toma ſ ſe de molherinhas, que muytas ve ʒes mi ſtur ão a ſeus remedios pe çonha Adrian. in 4. de re ſti. col. 88. ."
azp1552_ch17_77,"† Donde ſe ſegue que n ão e ſcu ſa a ignorancia, por ſer cra ſ ſa ⁊ ſupina ⁊ n ão prouauel, do que comprou do ſoldado mi ſ ſal, ou cale ʒ: ou de pag ẽ, bacio ou ſaleyro de prara: ou  de h ũ mo ço mal ve ſtido, hũa huma pe ça de chamalote ou ſeda: ou de qualquer outro, aquilo q̃ que ſabia q̃ que c õ m ũmente ſe tinha por furtado ou roubado, ou ẽ em guerra iniu ſta ganhado: ou aquilo de q̃ que ſe duui daua, ſe era tal ou n ão, ſem por a deuida dilig ẽ cia, por ſe informar da verdade. Nem menos e ſ cu ſa a ignorancia de dereito claro, como he a q̃l la, com q̃ que n ão ſabe ſer cou ſa inju ſta, comprar cou ſa furtad ã pera lhe ficar Arg. c. A po ſtolic æ. de cler. ex c õ. mini ſt. &amp;. c. Igno r ãtia. de re gul. iur. li. 6. Syl. ver. Re ſtitutio 3. q. 7. . Ainda que por ſer ca da hũ hum mais obrigado a ſi que a outro, pode tor nar a tal cou ſa, ao que lhavendeo ou trocou, ⁊ re ceber ho pre ço, ou aquillo que por ella deu, rog ã do ao que a tomou ⁊ lha deu, que a re ſtituya a seu dono."
azp1552_ch17_78,Alex ãd. de Ales in. 4.
azp1552_ch17_79,"¶ A q̃rra † cau ſa que tambẽ tambem e ſcu ſa da obriga ç ão de re ſtituyr, he a canonica pre ſcrip ç ão, on v ſuca pi ão, que he hũa huma maneira de ganhar ho ſenho rio vtil, ou direyto de alg ũa cou ſa ou excep ç ão, pera que lha n ão tirem, pola auer po ſ ſuydo con tinuamente, com titulo, ou ſem elle, pollo tempo pera i ſ ſo por dereito determinado l. 1. ff. dev ſ ũ cap. tot. li. de p̃ ſcript. l. 1. C. đ v ſu cap. tran ſl. &amp; gl. 16. q. 3. in ſ ũma.. E porque a ninguem pare ça que de ſcuydadamente chania mos v ſucapi ão, aa pre ſcrip ç ão do ĩmouel ⁊ b ẽs de ray ʒ, di ʒemos que ainda que a maneira de auer por po ſ ſi ſ ſ ão ho mouel, ſe chama v ſucapi ão ⁊ a maneyra de auer ho immonel pre ſcrip ç ão, ſegundo a comũ comum openi ão dos commentadores de ambolos dereytos: porem mais verdadeiro parece q̃ que toda a tal maneira ſe chame v ſucapt ão ⁊ a excep ç ão ou embargo, que della nace p̃ ſcri p ç ão, como ſe proua por muytas leys Tit. de v ſu capi. ff., ⁊ ho mo ſtra o muy docto Alciato in l. Vt ſ ũt ff. de verb. ſignif., ⁊ outros nouos. N ão ſem cau ſa di ſ ſemos que e ſcu ſa a pre ſcrip ç ão ca nonica, porque a legal do dereyto ciuil, que n ão he conforme aos ſacros canones, n ão e ſcu ſa: ⁊ por tanto nenh ũa pre ſcrip ç ão, q̃ que ſe come çou ⁊ c õ tinuou com maa fee ( ſabendo q̃ que a cou ſa n ão era fua) e ſcu ſa, nem ainda a que come çou cõ com boa fe, ſe primeiro que ſe acaba ſ ſe ſobreueo a maa c. vigil ãti. c. ſin. de p̃ ſ crip. c. Po ſ ſe ſ ſor. đ re gu. iur. li. 6. N ẽ ao leys particulares dos reynos ⁊ cidades, que mand ão q̃ que n ão ſe po ſ ſa pedir diuida de t ãtos an nos, e ſcu ſam ẽ em ho juy ʒo oa c õ ſci ẽcia a o deuedor q̃ ( ſab ẽdo sabendo q̃ que deuia), n ão pagou, ſeg ũdo segundo acom ũ. Qu ã tenet Ancharr. ĩ c. Peccat ũ. de reg. iur. in. 6."
azp1552_ch17_80,"¶ A quinta cau ſa he a ce ſ ſam ou deyxamento q̃ ho deuedor fa ʒ dos ſeus b ẽs pera ſeus acreedo res ff. de ce ſ ſio bon. &amp;. C. de his qui bonis ce dunt., a qual e ſcu ſa no foro exterior, quanto aas diuidas q̃ que proced ẽ de contratos, porq̃ porque a ley ciuil manda q̃ que de ſpoys della, o q̃ que a fe ʒ n ão ſeja c õ ſtr ã gido a pagar mais do que boamente poder, ſem lhe faltar ho nece ſ ſario daquilo que de ſpois ga nhar: ⁊ ainda quanto a aquellas, q̃ que proced ẽ  de de lictos, quando ſe trata do intere ſ ſe particular da parte. Mas n ão q̃ndo ſe trata da pena pubrica l. 1. §. G ñali ter. ff. đ p œ nis, &amp; gl. c. Non ſatis. 86. d. &amp; c. Si res. 14. q. 6.. Tam pouco e ſcu ſa no juy ʒo da cõ ſciencia consciencia ſen ão tanto quanto ho e ſcu ſaria a nece ſ ſidade, ſem a tal ce ſ ſam, de que acima di ſ ſemos. Supra eod. c. Illatione 8. n. 60. c ũ ſequent."
azp1552_ch17_81,¶ Da re ſtituy ç ão dos b ẽs incertos q̃ que ſe ham de re ſtituyr.
azp1552_ch17_82,"BEens incertos que ſe ham de re ſtituyr † ſam os que n ão ſe podem reter ju ſtamente, ⁊ n ão ſe ſabe qu ãtos ſam: ou n ão ſe ſabe a quem ſe hã hão de re ſtituyr, feita a deuida diligencia, ſegundo a mente comũ comum dos doutores, que em outra parte in c. C ũ ſit. de iudeis. largam ẽte declaramos: ainda q̃ que a glo ſa c. 2. de p œ nit. &amp; re mi ſ. lib. 6., a e ſtes ſoos derradeiros chama incertos. E e ſte n ão ſe ſaber acontece, por n ão ſe conhecer, ou por ſer morto aquelle, que os auia dauer, ⁊ n ão ſe conhe cerem ſeus herdeyros, ainda de ſpois de feita a diligencia deuida, ſegundo. S. Thom. 2. S æ. q. 62. art. 5. recebi do. A re ſtitui ç ão dos q̃es quaes ſe ha de fa ʒer aos po bres c. Cum tu. de v ſur.: ⁊ ainda q̃ que muytos tem q̃ que he re ſeruada aos bi ſpos, ⁊ que n ão ſe deue fa ʒer ſe n ão por elles Ho ſti. in d. c. C ũ tu. &amp; in d. c. C ũ ſit. &amp; in ſ ũa de p œnit. .§. fin.. porem a comũ comum tem ho contrairo, cuja verdade largam ẽte prouamos em outro lugar . ſ. in c õm ẽ to. d. C ũ ſit.: onde cõ com cruymos que aq̃lle aquelle que he obrigado a re ſtituyr, per ſi me ſmo ho pode fa ʒer ſem ho bi ſpo, ⁊ ainda ſem ſeu confe ſ ſor: ⁊ que ho bi ſpo n ão pode man dar ho contrairo, nem com ũmente entremeter ſe ni ſ ſo contra a võtade vontade do deuedor, ſaluo em qua tro ca ſos."
azp1552_ch17_83,"O primeiro, † quando o q̃ que auia de re ſti tuyr, morreo ⁊ n ão deixou herdeiro, nem execu tor de ſeu te ſtamento. O. ij. quando o q̃ que ha de re ſtituyr ho n ão quer fa ʒer, ⁊ ſe procede contra elle em juy ʒo. O. iij. quãdo quando o q̃ que re ſtitue, n ão ho di ſtri bue bẽ bem, nẽ nem como he obrigado. O. iiij. qñ quando as taes cou ſas incertas ſam po ſ ſuydas por aq̃lle aquelle que he ou foy on ʒeneiro manife ſto Angel. Re ſtitutio. 2. .§. 14. Ro ſella eo. §. 2. pi ſan. Re ſtitutio. 6. Syl. eod. 8. q. 5. Gabri. 4. d. 15. q. 2. col. 18.. Nem ainda ho co ſtume contrairo valeria, ou por ſer contra ley na tural, ou porq̃ porque os bi ſpos c õm ũmente n ão cur ão muyto dos pobres, ſegundo Sylue ſtr. in eod. ver bo. in. d. q. 5. ainda q̃ que ho cu ſtume dos bi ſpos q̃ que re ſeru ão a ſi me ſmo a re ſtituy ç ão dos taes b ẽs (de q̃ que fe ʒ men ç ão hũa huma glo ſa c. 2. de p œ nit ẽ.) ſe pode defender, entendendo da ab ſol ui ç ã do peccado cometido, polos n ão auer re ſti tuido, ⁊ da re ſtituy ç ão ⁊ di ſpo ſi ç ão dos c õfe ſ ſo res, i ſto he defender aos confe ſ ſores, que n ão ab ſolu ã, nẽ nem de ſtribuy ã, ſem o parecer do bi ſpo: mas n ão defender que a parte per ſi ( ſe qui ſer) n ão re ſtituya, nem de ſencarregue ſua con ſciencia, co mo he obrigado: ⁊ por e ſta noua limita ç ão ſe po dem todos concertar, ⁊ ſaluar as con ſtituyc ões ſynodaes de muytos bi ſpados."
azp1552_ch17_84,"Acrecentamos † tambẽ tambem que por todolos re ſpeitos, polos quaes ho confe ſ ſor pode ab ſoluer, ao que deue cou ſas certas, ſem que re ſtituya logo, ou ate certo tẽpo tempo: por mais forte re ʒ ão ho podera fa ʒer ao q̃ que deue as incertas. E ſe o que ha de re ſtituyr he pobre pode tomar pera ſi tudo, on alg ũa parte: mayor mente com parecer no bi ſpo, ou de ſeu c õfe ſ ſor, como hũ hum dos outros pobres, polo q̃ que abaixo dire mos infra. eod. c. n. 181.. N ẽ habi nece ſ ſidade lhe poer mais obri ga ç ão de ora ç ões, ⁊b õas obras, polas almas da q̃lles, a quẽ quem ſe auia  de re ſtituyr, do q̃ que ſeria nece ſ ſa rio poer a outros pobres. Por q̃ n ão ha texto, nẽ nem re ʒ ão q̃ que ho ꝓue aĩda ainda q̃ que ho tal fique obrigado ao q̃ os outros ficari ão Arg l. Ill đ .ff. ad l. A quil. &amp;. c. inter c æte ras. de re ſ cript.: Di ʒemos tãb ẽ tambem que ſeria cou ſa c õueniente q̃ que e ſcolhe ſ ſe os mais pobres, ⁊ de ſtes ſendo iguaes os milhores c. Est pro b ãda. &amp;. c. N õ ſatis. 86. d., ainda q̃ n ão he nece ſ ſario: porq̃ porque n ão ha hi texto nẽ nem re ʒ ão q̃ que ho c õcruya. Por pobres, ent ẽdemos n ão ſom ẽte somente ho m ẽs ⁊ molheres, mas tambẽ tambem igrejas, ho ſpitaes ⁊ moe ſteyros, q̃ que tem nece ſ ſidade de ornam ẽtos, l ã padas, cera, edificios ⁊c. ſeg ũdo segundo Joh. Andr. in. c. 2. &amp; te ſtam ẽ. li. o. c õ m ũmente recebido, ou outras obras pias. Por q̃ os b ẽs eccle ſia ſticos tam deuidos ſam aos po bres, como e ſtes b ẽs incertos. E e ſtaa certo que os eccle ſia ſticos ſe pod ẽ ga ſtar ẽ em outras obras pias: ainda q̃ que Pero  de peru ſio outra cou ſa diga. in tract. de cano. port. epi ſc. c. 7. Cu j̈a openi ão poderia proceder nas mandas fei tas aos pobres."
azp1552_ch17_85,"¶ A openi ão comũ comum † que tem q̃ que os beneficiados que ga ſt ão os fruytos de ſeus beneficios cõ com m ã cebas, ou em outros v ãos, ou maoa v ſos, ou em enriquecer parentes: ⁊ os q̃ que ho receb ẽ ſam obri gados a re ſtituyr, ſe ha de entender, excepto o q̃ que ga ſta da parte da renda, pera ſua hone ſta ſu ſt ẽta ç ão nece ſ ſaria: como ſe hũ hum pode virtuo ſa ⁊ hone ſtamente ga ſtar mil cru ʒados ẽ em ſeu comer, ve ſtir ⁊ familia, ⁊ tem de r ẽda dous mil, ⁊ga ſta os mil em b õs v ſos, ⁊ du ʒentos em ſu ꝑf luos, v ãos, ou maos, ſeraa obrigado a re ſtituyr os du ʒentos, ⁊ n ão mais. E ſe limitou os b õs tãto tanto q̃ que n ão ga ſtou mais de oyrocentos, n ão ſera obrigado a re ſti tuyr nada dos du ʒ ẽtos, que ga ſtou em v ſos ma os, ou v ãos. E ſe os limitou em cento, de manei ra q̃ que n ão ga ſta ſe n ão nouecentos, ſera obrigado a re ſtituyr cento: como largamente em outro lu gar ho prouamos . ſ. in. 5. no ta. c. Cum ſecund ũ. &amp; pr æb., tocando em particular muy tas, ⁊ grandes duuidas de ſta materia."
azp1552_ch17_86,"¶ Da re ſtituy ç ão do que ſe ganha em j̈ogos ſe diraa a diante infra in. c. 19., ⁊ tambẽ tambem do d ãno da fa ma ⁊ honrra. infra in. c. 13."
azp1552_ch17_87,¶ Preguntas de ſte ſeptimo mandam ẽto que nac ẽ dos ditos pre ſoppo ſtos.
azp1552_ch17_88,"SE contratou † ou tomou, ou de ſe j̈ou contratar ou tomar engano ſamente alg ũa cou ſa alhea, contra vontade de ſeu ſenhor, pera auer a ꝓprie dade, po ſ ſi ſ ſ ã ou v ſo lla. M. Per pr ædi cta in. 1. p̃ ludio. ⁊ obriga a re ſtituy ç ão ha obra, ainda q̃ que n ão ha võtade vontade ſoo della Per dicta ĩ 2. pr ælud.."
azp1552_ch17_89,"¶ Se tomou ho ſeu, cuydãdo cuydando q̃ que era alheo. M. a ĩ da que q̃nto quanto ao foro exterior n ão encorre em pe na, ſe di ſ ſo a nirguem veo d ãno, Argu. l. in ter. §. pen. ff. de furt. nem q̃nto quanto ao de deos obriga a re ſtituy ç ão."
azp1552_ch17_90,"¶ Se contratou cou ſa propria, em q̃ que outro tinha alg ũ dereito, contra ſua vontade, como penhor q̃ que tinha dado ao acreedor, ou caualo q̃ que alugou ou empre ſtou .§. Aliq ñ In ſtit. de o blig. q̃ que ex đlict. na ſe. porque quãto quanto ao dereito q̃ que ho outro nelle tem, n ão de ſeu, ſe n ão alheo."
azp1552_ch17_91,"¶ Se tomou † ou de ſejou tomar cõ com delibera ç ão alg ũa cou ſa for ço ſamente. M. ⁊ pior q̃ que ſimple fur to c. Penale. 14. q. 5., que ſe chama rapina, ⁊ he de outra ſpecie Tb. 2. S æc. q. 66. ar. 9., ⁊ por i ſto cont ẽ circun ſtancia que de nece ſ ſidade ſe ha de confe ſ ſar, polo que acima he dito Supra in c. 6. n. 3.: ⁊ al ẽ da re ſtituy ç ão da cou ſa tomada, ha de ſati ſfa ʒer a injuria, a quẽ quem fe ʒ a for ça, como aquelles q̃ que ſem tomar nada injuri ão, ſegundo a mente de ſancto Thomas 2."
azp1552_ch17_92,"S æ. q. 66. art. 9., ⁊ os outros."
azp1552_ch17_93,"¶ Se furtou † cou ſa ſagrada  de lugar ſagrado ou n ão ſagrado, ou cou ſa n ão ſagrada de lugar ſa grado. M. ⁊ pior que furto ſimple ⁊ de outra ſpe cie: porque he ſacrilegio: c. Qui ſ ꝗs. 17. q. 14. ⁊ ſe ho fe ʒ cõ com quebran tamento de porta, janela, fechadura, telhado, ou parede  de lugar ſagrado, he e ſcom ũgado c. C õque ſti de ſent. ex. ainda que n ão, por ſoo quebrantar, ſe n ão ſe ſeguio fur to, nem por ſoo furtar ſem quebrantamento, ain da que pola injuria que fe ʒ, em hũ hum ca ſo ⁊ no ou tro deua ſer ca ſtigado: como de ſpois de Panor. Felino, ⁊ a comũ comum em outro lugar ho di ſ ſemos in. d. c. C õ que ſti.. Ao qual he cõforme conforme o que di ʒem os Pari ſi ẽ ſes in. 4. d. 15. . ſ. que aquelle que quebra ſ ſe ho ſacrario ⁊ furta ſ ſe ho ſancti ſ ſimo ſacramento ſeria e ſcom ũgado. Lugar ſagrado, (quanto a i ſto) ſe di ʒ q̃l q̃r qualquer igreja ho ſpital ou hermida edificada com licẽ ça licença do pa pa ou do bi ſpo, c. C õ ſtitu t ꝰ. de relig. domib. ou adro por elles bento. c. 1. de c õ ſe cr. eccle ſ. lib. 6."
azp1552_ch17_94,"¶ Se recebeo alg ũa cou ſa notauel por fa ʒer ou deixar de fa ʒer aquilo, a que ſeu officio ho obri gaua, como por dar ju ſta ſenten ça, ſendo juy ʒ, ou di ʒer verdade, ſendo te ſtemunha: ou por accu ſar ſendo a i ſ ſo obrigado, ou defi ſtir da inju ſta accu fa ç ão. M. c. N õ ſan ẽ 14. q. 5. c. Militare. 23. q. 1. com obriga ç ão nece ſ ſaria de re ſtituyr o q̃ tomou, ao q̃ lho deu, como acima di ſ ſemos Supra eo. c. n. 37.. E ainda que peccou mais, ſe ho tomou por fa ʒer o que n ão deuia, ou deixar de fa ʒer o que deuia, ſegundo todos. ſ. por mal julgar, mal accu ſar, mal den ũciar, ou mal re ſtimunhar, porẽ porem n ão he obri gado de precepto a re ſtituyr o q̃ que tomou, ainda q̃ que ſi, ho danno que fe ʒ, polo acima dito."
azp1552_ch17_95,Supra cõ com. c. n. 36.
azp1552_ch17_96,"¶ Se comprou alg ũa cou ſa † por mandado dou trem, ⁊ di ſ ſe auer cu ſtado mais, por fim de lhe fi car. M. ſegundo S. Anton. ſe aquella dema ſia n ão ha tomou pera os ga ſtos nece ſ ſarios, nẽ nem ho v ẽdedor lha do ou ꝑa ſi, ⁊ n ão ꝑa para que ac õprou. Arg. c. Re qui ſi ſt i. de te ſtam."
azp1552_ch17_97,"¶ Se di ſtribuyo alg ũa quantidade de dinheiro ao pouo pera que ho paga ſ ſe, ⁊ impos mais ou menos a h ũs, do que era re ʒ ão, em perjuy ʒo de outros. M. ſegundo. S. Anton. ⁊ todos: ainda q̃ que ho n ão fa ça por odio, ou maa inten ç ão, ſe a igno rancia do dereyto, ou do feyto prouauel, n ão ho e ſcu ſa, porq̃ porque corr õpeo a ju ſti ça di ſtributiua: ⁊ de ue re ſtituyr ao agrauado aquillo, em q̃ que ho agra uou, ſegundo todos. E ho me ſmo he do q̃ que repar te as cou ſas com ũas, ⁊ deu mais ou menos do que cabia a algũ algum, ſeg ũdo segundo Caiet. 2. S æ. q. author=""bragagnolo"" timestamp=""20190408T202302+0200"" comment=""check ""c 2 art. 2. porq̃ porque os taes tir ão o que he deuido, ou ho ſeu ao agrauado."
azp1552_ch17_98,"¶ Se ho prelado ou ſe ñor, que tẽ tem carrego de dar beneficios, ou officios pubricos, deu algũ algum ao que era ĩdigno. M. como ẽ em outro lugar o di ſ ſemos c. Graue. đ pr æb.: ⁊ he obrigado a re ſtituy ç ão, ainda q̃ que ſeja papa, ſegundo Caietano 2. S æ. q. 62 ar. 2. col. 5., ainda que ho contrairo nos pare çe mais ju ſto, como acima di ſ ſemos. Supra eod. c. n. 72."
azp1552_ch17_99,"¶ Se impedio a algũ algum, que n ão ouue ſ ſe algũ algum bẽ bem, officio ou beneficio, com inten ç ão de lhe dar d ã no ⁊ fa ʒer mal, ou ſem maa inten ç ão, porẽ porem por for ça, amea ças, ou engano: ou ſem nada di ſto, mas com inten ç ão que ſe de ſ ſe ao q̃ que era indigno. M. Arg. c. N õ e ſt put ãda 1. q. 1. c. gra ue. de p̃b. como em outra parie ho di ſ ſemos in repet. c. Inter ver ba. 11. q. 3.. Mas n ão he obrigado a re ſtituyr. Se ainda a q̃le, a que impe dio, n ão tinha acquirido direito, nem in re, nem ad rem, polo que acima di ſ ſemos. Supra eo. c. n. 71."
azp1552_ch17_100,"¶ Se deu cau ſa, q̃ que a outro lhe fo ſ ſe leuada pena inju ſta, ou que n ão ouue ſ ſe ho ſeu. M. ⁊ he obri gado a re ſtituyr, ſegundo a mente de todos Arg. c. fin. de iniur. &amp; l. Qui oc cidit. ff. ad l."
azp1552_ch17_101,Aquil..
azp1552_ch17_102,"¶ Se tomou † alg ũa cou ſa dos q̃ que ſe perdem no mar, ⁊ n ão er ão co ſ ſayros, nem infieys, hora ho toma ſ ſe da nao, hora do mar, hora da praya. M. com obriga ç ão de re ſtituyr c. Exc õica tioni. de ra ptorib. l. Si quis. ff. de ĩc ẽd. ruin. &amp; nauf. &amp; l. Depreca tio. ff. ad. l. Rhod.: ainda que ſej ão taes cou ſas que ſe ouuer ão de perder, ſe elle as n ão tomara, como ſam farinha, a çucar, ⁊ papel, pois por cartda  era obrigado a a j̈udar a ſeus, ꝓ ximos d. c. Exc õi cationi. E ſe n ão re ſtitue (ip ſo facto) he excom ũ gado, quanto a deos, ſeg ũdo segundo Panor. d. c. Exc õi. O qual ꝓ cede ſe n ão ſe pos a perigo de morte (ainda que n ão fo ſ ſe prouauel) pola ſaluar: porque ent ão a podia tomar pera ſi, pois n ão era obrigado ao a judar com tal perigo. Ainda q̃ que ſe ho ſe ñor da cou ſa com re ʒ ão e ſperaua  de ho auer per outra via. ſ. que ho mar a lan çara fora, ou achara outros que por ſeu ſalairo ſe offerecer ão ao ſemelhante peri go, obrigado he a re ſtituyr, receb ẽdo ho premio de ſeu trabalho, a juy ʒo de bõ bom var ão, ſeg ũdo segundo. S. Anton. 2. ꝑt. ti. 1. c. 15. §. 2. Ango, Verb. Nau fragi ũ. §. 3. ⁊ Sylue ſtre. Eod. q. 2."
azp1552_ch17_103,"† Mas ſe a algũ algum ſimple parece ſ ſe ſer licito tomar a tal cou ſa, ou por ordenã ça ordenança da terra, ou outra alg ũa re ʒ ão, n ão peccaria mortalmente, nem ſeria obrigado ip ſo iure, ainda que ſeria obrigado a re ſponder, ſe ho juy ʒ e ſcomunga ſ ſe por i ſ ſo. Todos tambe c õcor dio, que ſe aquella cou ſa que ſe tomou, fo ſ ſe de todo auida por engeitada, n ão ſe ha de re ſtituyr polo que a diãte diante ſe diraa infra eod. c. notitolo das cou ſas achadas. n. 180.. N ão ſe di ʒ porẽ porem cou ſa engeitada, o que ſe deita na tromenta por de ſ carregar a nao, ſegundo todos Gl. Pan. &amp; c õis in. c. C ũ dilect ꝰ. de accu ſ., ainda que ſi, a quillo que ho ſenhor de ſampara, por lhe parecer que ainda que ſe podia ſaluar ſem perigo proua uel de vida: porẽ porem que ningu ẽ ſe poria ao tal peri go. l. Si ꝗs mer ces. ff. pro derelicto. Ho me ſmo di ʒemos daquelles q̃ que tom ão aos que ſe lhe queym ão as ca ſas ⁊ fa ʒendas. E ain da e ſtes pecc ão mais grauemente, que os q̃ que ſim premente furt ão Gab. in. 4. d. 15. ar. 3. R."
azp1552_ch17_104,"¶ Se por ſua vontade pos fogo a alg ũa ca ſa, lu gar, ou ſementeiras. M. com obrigado de re ſti tuyr c. Pe im ã. 23. q. vlt. &amp; c. Si ꝗ ſdo m ũ. de in iur. E ſe ho lugar era igreja, adro, ou ho ſpi tal ⁊c. (ip ſo facto) he excomũgado excomungado, po ſto q̃ que antes que ſeja denũciado denunciado por tal, pode ſer ab ſolto por ho bi ſpo porẽ porem n ão  ſpois Pan. &amp; c õis in. c. Tua. &amp;. c. Con q̃ ſti. de ſenr. exc õic.. Mas ſe ho lugar n ão era ſagrado, n ão he e ſcomungado (ip ſo facto) mas ha ho de ſer, ſegundo todos. E quando os taes ſam ditos denunciados, ou n ão, ſe diraa a diante ſu p̃. ĩ. c. 27. q̃ fala das exc õmu nh ões.. Quando ho autor do incendio, ou de outro delicto notorio he occulti ſ ſimo, n ão he ſub j̈eyto ao juy ʒo humano, pera effecto de ſe mani fe ſtar, mas ſi, quanto a ſer excomungado. c. Quid ã. 5 q. 1. &amp; Caie."
azp1552_ch17_105,In opu ſcu lis. li. 17. re ſ p. 14. re ſp.
