id,axis,label,value,height,r,g,b,a
f38,Foreign Legislation,Lithuania 1928_Art.99 (2),101,1,250,0,100,130
f07,Foreign Legislation,Ecuador 1929,104,1,250,0,100,150
f08,Foreign Legislation,Ecuador 1929_Art.151 (14),105,1,250,0,100,150
f64,Foreign Legislation,Spain 1931,108,1,250,0,100,170
f65,Foreign Legislation,Spain 1931_Art.46,109,1,250,0,100,170
f66,Foreign Legislation,Spain 1931_Art.46 (2),110,1,250,0,100,170
f87,Foreign Legislation,Yugoslavia 1931,113,1,250,0,100,190
f89,Foreign Legislation,Yugoslavia 1931_Art.22,114,1,250,0,100,190
f90,Foreign Legislation,Yugoslavia 1931_Art.23,115,1,250,0,100,190
f91,Foreign Legislation,Yugoslavia 1931_Art.24,116,1,250,0,100,190
f92,Foreign Legislation,Yugoslavia 1931_Art.31,117,1,250,0,100,190
f93,Foreign Legislation,Yugoslavia 1931_Art.33,118,1,250,0,100,190
f88,Foreign Legislation,Yugoslavia 1931_Art.117 (4),119,1,250,0,100,190
f45,Foreign Legislation,Peru 1933,122,1,250,0,100,210
f46,Foreign Legislation,Peru 1933_Art.42,123,1,250,0,100,210
f47,Foreign Legislation,Peru 1933_Art.43,124,1,250,0,100,210
f48,Foreign Legislation,Peru 1933_Art.44,125,1,250,0,100,210
f49,Foreign Legislation,Peru 1933_Art.45,126,1,250,0,100,210
f50,Foreign Legislation,Peru 1933_Art.46,127,1,250,0,100,210
f59,Foreign Legislation,Portugal 1933,130,1,250,0,100,230
f60,Foreign Legislation,Portugal 1933_Art.49,131,1,250,0,100,230
f76,Foreign Legislation,The Soviet Union 1936,134,1,250,0,100,250
f85,Foreign Legislation,The Soviet Union 1936_Chapter one,135,1,250,0,100,250
f83,Foreign Legislation,The Soviet Union 1936_Art.7,136,1,250,0,100,250
f84,Foreign Legislation,The Soviet Union 1936_Art.9,137,1,250,0,100,250
f77,Foreign Legislation,The Soviet Union 1936_Art.118,138,1,250,0,100,250
f78,Foreign Legislation,The Soviet Union 1936_Art.119,139,1,250,0,100,250
f79,Foreign Legislation,The Soviet Union 1936_Art.120,140,1,250,0,100,250
f80,Foreign Legislation,The Soviet Union 1936_Art.122 (2),141,1,250,0,100,250
f81,Foreign Legislation,The Soviet Union 1936_Art.125,142,1,250,0,100,250
f82,Foreign Legislation,The Soviet Union 1936_Art.126,143,1,250,0,100,250
f03,Foreign Legislation,Constitutions of Modern Nations,146,1,250,0,100,50
t01,Traditional Sources,Ancient Poetry,10,3,250,240,0,200
t02,Traditional Sources,Book of Changes,15,3,250,240,0,210
t03,Traditional Sources,Book of Han,20,3,250,240,0,210
t04,Traditional Sources,Book of Mencius,25,3,250,240,0,210
t05,Traditional Sources,Book of Rites,30,3,250,240,0,210
t06,Traditional Sources,Mencius,35,3,250,240,0,210
t07,Traditional Sources,Pre-Qin Scholars,40,3,250,240,0,220
t08,Traditional Sources,Principle of People's Livelihood,45,1,250,240,0,230
t09,Traditional Sources,Principle of People's Livelihood_Lecture 1,46,1,250,240,0,230
t10,Traditional Sources,Principle of People's Livelihood_Lecture 2,47,1,250,240,0,230
t11,Traditional Sources,Principle of People's Livelihood_Lecture 3,48,1,250,240,0,230
t12,Traditional Sources,Founding Father's Lecture,50,3,250,240,0,240
t13,Traditional Sources,Fundamentals of National Reconstruction,55,3,250,240,0,240
t14,Traditional Sources,The Fundamentals of National Reconstruction,60,3,250,240,0,240
t15,Traditional Sources,The International Development of China,65,3,250,240,0,240
t16,Traditional Sources,The Manifesto of the First National Congress of the KMT,70,3,250,240,0,240
t17,Traditional Sources,The Manifesto of the Tongmenghui,75,3,250,240,0,240
t18,Traditional Sources,The Outline of National Reconstruction,80,3,250,240,0,240
